time,date,dir,result,pnl,hold
2026-05-20 10:55:00+05:30,2026-05-20,LONG,target,0.3,2.0
2026-06-02 12:30:00+05:30,2026-06-02,LONG,target,0.3,3.0
2026-06-24 10:00:00+05:30,2026-06-24,LONG,target,0.3,12.0
2026-06-25 09:30:00+05:30,2026-06-25,LONG,target,0.3,33.0
2026-07-06 09:30:00+05:30,2026-07-06,LONG,target,0.3,12.0
2026-07-09 10:40:00+05:30,2026-07-09,LONG,stop,-0.3,1.0
2026-07-13 09:35:00+05:30,2026-07-13,LONG,target,0.3,3.0
2026-04-23 11:15:00+05:30,2026-04-23,SHORT,target,0.3,18.0
2026-04-23 11:40:00+05:30,2026-04-23,SHORT,target,0.3,13.0
2026-04-23 12:20:00+05:30,2026-04-23,SHORT,target,0.3,3.0
2026-04-23 12:25:00+05:30,2026-04-23,SHORT,target,0.3,4.0
2026-04-27 09:30:00+05:30,2026-04-27,SHORT,target,0.3,20.0
2026-04-27 11:25:00+05:30,2026-04-27,SHORT,stop,-0.3,14.0
2026-04-28 10:10:00+05:30,2026-04-28,SHORT,target,0.3,13.0
2026-04-28 10:35:00+05:30,2026-04-28,SHORT,target,0.3,10.0
2026-04-28 11:05:00+05:30,2026-04-28,SHORT,target,0.3,11.0
2026-04-28 11:25:00+05:30,2026-04-28,SHORT,target,0.3,21.0
2026-04-28 12:00:00+05:30,2026-04-28,SHORT,target,0.3,19.0
2026-04-29 13:05:00+05:30,2026-04-29,SHORT,target,0.3,8.0
2026-04-29 13:10:00+05:30,2026-04-29,SHORT,target,0.3,9.0
2026-04-29 13:55:00+05:30,2026-04-29,SHORT,target,0.3,1.0
2026-04-30 11:10:00+05:30,2026-04-30,SHORT,stop,-0.3,13.0
2026-04-30 12:15:00+05:30,2026-04-30,SHORT,stop,-0.3,9.0
2026-05-04 12:10:00+05:30,2026-05-04,SHORT,target,0.3,7.0
2026-05-04 12:30:00+05:30,2026-05-04,SHORT,target,0.3,3.0
2026-05-06 09:35:00+05:30,2026-05-06,SHORT,target,0.3,5.0
2026-05-07 11:40:00+05:30,2026-05-07,SHORT,stop,-0.3,4.0
2026-05-08 09:30:00+05:30,2026-05-08,SHORT,target,0.3,36.0
2026-05-08 11:20:00+05:30,2026-05-08,SHORT,target,0.3,17.0
2026-05-08 11:45:00+05:30,2026-05-08,SHORT,target,0.3,12.0
2026-05-11 09:30:00+05:30,2026-05-11,SHORT,target,0.3,1.0
2026-05-11 13:00:00+05:30,2026-05-11,SHORT,target,0.3,21.0
2026-05-12 10:45:00+05:30,2026-05-12,SHORT,target,0.3,21.0
2026-05-12 12:40:00+05:30,2026-05-12,SHORT,target,0.3,27.0
2026-05-12 13:35:00+05:30,2026-05-12,SHORT,target,0.3,7.0
2026-05-14 10:40:00+05:30,2026-05-14,SHORT,target,0.3,3.0
2026-05-15 11:00:00+05:30,2026-05-15,SHORT,target,0.3,2.0
2026-05-15 13:45:00+05:30,2026-05-15,SHORT,target,0.3,9.0
2026-05-19 10:50:00+05:30,2026-05-19,SHORT,target,0.3,46.0
2026-05-19 12:30:00+05:30,2026-05-19,SHORT,target,0.3,17.0
2026-05-19 13:00:00+05:30,2026-05-19,SHORT,target,0.3,20.0
2026-05-19 13:10:00+05:30,2026-05-19,SHORT,target,0.3,19.0
