config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:vwap_loss+delta_dump|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:delta_dump+vwap_loss_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:delta_dump+vwap_loss_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+below_vwap+delta_dump|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+below_vwap+delta_dump|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+delta_dump|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+delta_dump|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+rvol_thrust_dn|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+rvol_thrust_dn|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+below_vwap_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+adi_dn+below_vwap_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+weak_close|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+weak_close|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+vwap_loss_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+vwap_loss_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+rvol_thrust_dn|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+rvol_thrust_dn|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+below_vwap_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+delta_dump+below_vwap_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:vwap_loss+rvol_thrust_dn+cvd_dn|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+rvol_thrust_dn+cvd_dn|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+rvol_thrust_dn+cvd_dn_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+rvol_thrust_dn+cvd_dn_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+below_vwap_v+cvd_dn|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+below_vwap_v+cvd_dn|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+below_vwap_v+cvd_dn_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:vwap_loss+below_vwap_v+cvd_dn_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,70.6
SHORT:below_vwap+delta_dump+vwap_loss_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:below_vwap+delta_dump+vwap_loss_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:adi_dn+delta_dump+vwap_loss_v|nk0.8|vm0.8|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
SHORT:adi_dn+delta_dump+vwap_loss_v|nk0.8|vm1.2|am_0930_1130,9,0.16,9,0,0,100.0,100.0,inf,2.7,0.0,92.8
