time,date,dir,result,pnl,hold
2026-05-18 12:50:00+05:30,2026-05-18,LONG,target,0.3,26.0
2026-05-18 12:55:00+05:30,2026-05-18,LONG,scratch,0.15714360582633638,30.0
2026-05-20 11:00:00+05:30,2026-05-20,LONG,target,0.3,37.0
2026-05-20 11:20:00+05:30,2026-05-20,LONG,target,0.3,36.0
2026-05-20 11:35:00+05:30,2026-05-20,LONG,target,0.3,38.0
2026-05-20 12:20:00+05:30,2026-05-20,LONG,target,0.3,24.0
2026-05-20 12:40:00+05:30,2026-05-20,LONG,target,0.3,25.0
2026-05-20 12:45:00+05:30,2026-05-20,LONG,target,0.3,19.0
2026-06-02 12:30:00+05:30,2026-06-02,LONG,target,0.3,3.0
2026-06-02 12:45:00+05:30,2026-06-02,LONG,target,0.3,9.0
2026-06-03 12:30:00+05:30,2026-06-03,LONG,target,0.3,15.0
2026-06-03 12:35:00+05:30,2026-06-03,LONG,target,0.3,14.0
2026-06-11 10:30:00+05:30,2026-06-11,LONG,target,0.3,17.0
2026-06-11 11:15:00+05:30,2026-06-11,LONG,target,0.3,8.0
2026-06-11 11:20:00+05:30,2026-06-11,LONG,target,0.3,7.0
2026-06-19 12:20:00+05:30,2026-06-19,LONG,scratch,0.24218541344365888,37.0
2026-06-19 12:35:00+05:30,2026-06-19,LONG,scratch,0.24953859661697247,34.0
2026-06-30 10:50:00+05:30,2026-06-30,LONG,target,0.3,6.0
2026-07-13 12:10:00+05:30,2026-07-13,LONG,target,0.3,8.0
2026-07-13 12:15:00+05:30,2026-07-13,LONG,scratch,0.10914600193087383,38.0
2026-07-13 12:20:00+05:30,2026-07-13,LONG,target,0.3,6.0
2026-07-13 12:30:00+05:30,2026-07-13,LONG,scratch,0.09822068134311092,35.0
2026-04-28 10:30:00+05:30,2026-04-28,SHORT,target,0.3,11.0
2026-04-28 11:05:00+05:30,2026-04-28,SHORT,target,0.3,4.0
2026-05-04 10:20:00+05:30,2026-05-04,SHORT,stop,-0.3,5.0
2026-05-04 12:10:00+05:30,2026-05-04,SHORT,target,0.3,15.0
2026-05-06 09:40:00+05:30,2026-05-06,SHORT,target,0.3,32.0
