config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:r1_reject+weak_close|nk0.8|vm0.8|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,65.0
SHORT:r1_reject+hist_turn_dn+weak_close|nk0.0|vm0.8|full_0930_1400,7,0.12,6,0,1,85.7,100.0,inf,1.95,0.0,81.4
SHORT:r1_reject+hist_turn_dn+weak_close|nk0.0|vm0.8|am_0930_1130,7,0.12,6,0,1,85.7,100.0,inf,1.95,0.0,81.4
LONG:above_vwap+adi_up+ylow_reclaim|nk0.0|vm0.8|mid_1030_1300,13,0.23,11,0,2,84.6,100.0,inf,3.7,0.0,93.5
LONG:above_vwap+adi_up+ylow_reclaim|nk0.5|vm0.8|mid_1030_1300,13,0.23,11,0,2,84.6,100.0,inf,3.7,0.0,93.5
LONG:ylow_reclaim+cvd_up|nk0.0|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:ylow_reclaim+cvd_up|nk0.5|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:above_vwap+ylow_reclaim+cvd_up|nk0.0|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:above_vwap+ylow_reclaim+cvd_up|nk0.5|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:adi_up+ylow_reclaim+cvd_up|nk0.0|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:adi_up+ylow_reclaim+cvd_up|nk0.5|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:above_vwap+adi_up+ylow_reclaim+cvd_up|nk0.0|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:above_vwap+adi_up+ylow_reclaim+cvd_up|nk0.5|vm0.8|mid_1030_1300,12,0.21,10,0,2,83.3,100.0,inf,3.4,0.0,98.8
LONG:delta_surge+ylow_reclaim|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim|nk0.8|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:above_vwap+delta_surge+ylow_reclaim|nk0.8|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.8|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:adi_up+ylow_reclaim+above_vwap_v|nk0.8|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+above_vwap_v|nk0.8|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+cvd_up|nk0.0|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+cvd_up|nk0.0|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+cvd_up|nk0.5|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+cvd_up|nk0.5|vm1.2|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
LONG:delta_surge+ylow_reclaim+cvd_up|nk0.8|vm0.8|mid_1030_1300,6,0.11,5,0,1,83.3,100.0,inf,1.74,0.0,95.8
