hour,samples,longs,shorts,avg_abs_move,median_abs_move,p90_abs_move,max_abs_move,avg_up_move,avg_down_move,matched,resolved,mom_true,mom_n,long_pct,match_pct,momentum_pct
0,124,47,77,69.9,58.0,130.4,257.0,43.8,-52.4,62,124,59,124,37.9,50.0,47.6
1,124,62,62,63.0,55.0,112.7,225.0,46.8,-42.7,65,124,55,124,50.0,52.4,44.4
2,124,62,62,65.5,54.5,117.4,222.0,46.0,-45.0,67,124,59,124,50.0,54.0,47.6
3,124,67,57,67.5,55.0,114.4,302.0,49.0,-44.3,73,124,69,124,54.0,58.9,55.6
4,124,59,65,60.4,48.0,106.4,301.0,40.3,-41.5,75,124,66,124,47.6,60.5,53.2
5,124,66,58,56.0,47.0,111.8,209.0,38.5,-39.0,73,124,63,124,53.2,58.9,50.8
6,129,72,57,63.7,52.0,107.6,278.0,46.1,-39.4,73,129,52,127,55.8,56.6,40.9
7,132,59,73,104.9,74.0,169.9,720.0,74.0,-67.7,87,132,72,132,44.7,65.9,54.5
8,130,66,64,120.2,98.5,228.3,752.0,85.4,-80.2,88,129,65,128,50.8,68.2,50.8
9,128,67,61,145.6,124.0,254.0,723.0,100.4,-106.0,76,128,66,128,52.3,59.4,51.6
10,128,66,62,121.1,99.0,229.7,569.0,91.3,-78.0,68,128,65,128,51.6,53.1,50.8
11,128,54,74,94.2,80.5,160.3,338.0,60.4,-71.4,71,128,61,128,42.2,55.5,47.7
12,128,64,64,87.9,77.0,135.6,454.0,58.7,-60.6,76,128,67,128,50.0,59.4,52.3
13,128,60,68,76.6,66.0,130.0,225.0,51.2,-56.3,78,128,74,128,46.9,60.9,57.8
14,131,65,66,70.2,66.0,118.0,207.0,51.3,-47.9,73,131,67,130,49.6,55.7,51.5
15,133,72,61,66.6,52.0,123.6,411.0,48.6,-43.1,86,133,63,132,54.1,64.7,47.7
16,136,70,66,63.3,50.0,119.0,272.0,45.7,-41.8,93,136,65,133,51.5,68.4,48.9
17,137,59,78,77.0,62.0,166.8,390.0,49.2,-52.1,79,136,66,132,43.1,58.1,50.0
18,136,70,66,67.9,61.0,117.5,289.0,45.2,-48.0,81,135,63,135,51.5,60.0,46.7
19,132,60,72,90.2,79.0,142.8,364.0,56.3,-63.2,88,132,62,132,45.5,66.7,47.0
20,132,61,71,82.8,71.5,153.4,535.0,56.0,-60.5,82,131,69,131,46.2,62.6,52.7
21,128,60,68,79.0,66.5,140.6,519.0,50.9,-57.4,78,128,61,128,46.9,60.9,47.7
22,128,62,66,68.4,58.0,106.9,368.0,47.4,-46.5,85,128,72,128,48.4,66.4,56.2
23,126,58,68,58.4,53.0,89.0,212.0,38.3,-42.5,75,125,65,125,46.0,60.0,52.0
