logged_at_cst,book,engine,tf,signal,direction,confluence,window,noise_k,vol_mult,acc_strict_pct,acc_tp_before_sl_pct,bt_trades,bar_time_cst,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,vwap,y_poc,pivot,atr,volume,vol_vs_med20
2026-07-15 09:05:39,A,4h,5m,above_vwap+adi_up+hist_turn_up+strong_close,LONG,21,am_9_11,1.2,1.2,87.5,100.0,8,2026-07-15 09:00,323.26,323.26,324.23,322.29,09:35,10:05,320.36,315.25,314.34,1.087,1222108,
2026-07-15 09:05:39,B,4h,5m,above_vwap+adi_up+hist_turn_up+strong_close,LONG,16,am_9_11,1.2,0.8,83.3,90.9,12,2026-07-15 09:00,323.26,323.26,324.23,322.29,09:35,10:05,320.36,315.25,314.34,1.087,1222108,
2026-07-15 09:15:58,B,4h,5m,delta_surge+above_pivot+strong_close,LONG,10,am_9_11,1.2,0.8,84.2,88.9,19,2026-07-15 09:10,324.79,324.79,325.76,323.81,09:45,10:15,321.19,315.25,314.34,1.095,1217263,
2026-07-15 10:40:13,A,4h,5m,macd_x_up+strong_close,LONG,2,am_9_11,1.2,0.8,83.3,100.0,6,2026-07-15 10:35,326.84,326.84,327.82,325.86,11:10,11:40,323.08,315.25,314.34,0.998,798464,1.22
2026-07-15 10:40:13,B,4h,5m,adi_up+above_pivot+strong_close,LONG,3,am_9_11,1.2,1.2,84.0,87.5,25,2026-07-15 10:35,326.84,326.84,327.82,325.86,11:10,11:40,323.08,315.25,314.34,0.998,798464,1.22
2026-07-16 09:20:19,A,1h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-16 09:15,329.14,329.14,330.13,328.15,10:20,10:20,328.78,327.5,324.54,1.247,459039,2.0
2026-07-16 09:20:19,A,2h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-16 09:15,329.14,329.14,330.13,328.15,11:20,11:20,328.78,327.5,324.54,1.247,459039,2.0
2026-07-16 09:20:19,A,3h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-16 09:15,329.14,329.14,330.13,328.15,12:20,12:20,328.78,327.5,324.54,1.247,459039,2.0
2026-07-16 09:20:19,A,4h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-16 09:15,329.14,329.14,330.13,328.15,13:20,13:20,328.78,327.5,324.54,1.247,459039,2.0
2026-07-17 09:36:04,A,1h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,7,2026-07-17 09:30,333.93,333.93,334.94,332.93,10:35,10:35,332.35,333.25,331.58,1.233,1037739,1.55
2026-07-17 09:36:04,A,2h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,7,2026-07-17 09:30,333.93,333.93,334.94,332.93,11:35,11:35,332.35,333.25,331.58,1.233,1037739,1.55
2026-07-17 09:36:04,A,3h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,7,2026-07-17 09:30,333.93,333.93,334.94,332.93,12:35,12:35,332.35,333.25,331.58,1.233,1037739,1.55
2026-07-17 09:36:04,A,4h,5m,vwap_reclaim+rvol_thrust_up,LONG,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-17 09:30,333.93,333.93,334.94,332.93,13:35,13:35,332.35,333.25,331.58,1.233,1037739,1.55
2026-07-21 10:16:12,A,30m,5m,hist_turn_up+rvol_thrust_up,LONG,9,am_0845_1130,0.0,0.8,80.0,100.0,10,2026-07-21 10:10,327.45,327.45,328.76,326.14,10:45,10:45,325.1,326.75,328.04,0.877,693280,1.63
2026-07-21 10:16:12,A,1h,5m,hist_turn_up+rvol_thrust_up,LONG,9,am_0845_1130,0.0,0.8,80.0,100.0,10,2026-07-21 10:10,327.45,327.45,328.76,326.14,11:15,11:15,325.1,326.75,328.04,0.877,693280,1.63
2026-07-21 10:16:12,B,2h,5m,hist_turn_up+rvol_thrust_up,LONG,9,am_0845_1130,0.0,0.8,80.0,88.9,10,2026-07-21 10:10,327.45,327.45,328.76,326.14,12:15,12:15,325.1,326.75,328.04,0.877,693280,1.63
2026-08-04 09:00:53,A,30m,5m,adi_up+hist_turn_up+strong_close+orb_break_up,LONG,1,full_0845_1400,0.0,1.2,66.7,100.0,9,2026-08-04 08:55,305.3,305.3,306.52,304.08,09:30,09:30,303.94,307.5,305.29,0.826,889462,
2026-08-04 09:00:53,A,1h,5m,adi_up+hist_turn_up+strong_close+orb_break_up,LONG,1,full_0845_1400,0.0,1.2,77.8,100.0,9,2026-08-04 08:55,305.3,305.3,306.52,304.08,10:00,10:00,303.94,307.5,305.29,0.826,889462,
2026-08-04 09:00:53,A,2h,5m,adi_up+hist_turn_up+strong_close+orb_break_up,LONG,1,full_0845_1400,0.0,1.2,77.8,100.0,9,2026-08-04 08:55,305.3,305.3,306.52,304.08,11:00,11:00,303.94,307.5,305.29,0.826,889462,
2026-08-04 09:00:53,A,4h,5m,adi_up+hist_turn_up+strong_close+orb_break_up,LONG,1,full_0845_1400,0.0,1.2,77.8,100.0,9,2026-08-04 08:55,305.3,305.3,306.52,304.08,13:00,13:00,303.94,307.5,305.29,0.826,889462,
