time,date,dir,result,pnl,hold
2026-04-22 09:00:00-05:00,2026-04-22,LONG,target,0.3,2.0
2026-04-22 10:40:00-05:00,2026-04-22,LONG,target,0.3,25.0
2026-04-24 08:45:00-05:00,2026-04-24,LONG,target,0.3,10.0
2026-04-24 08:55:00-05:00,2026-04-24,LONG,target,0.3,8.0
2026-04-24 09:00:00-05:00,2026-04-24,LONG,target,0.3,7.0
2026-04-24 09:10:00-05:00,2026-04-24,LONG,target,0.3,2.0
2026-04-27 09:15:00-05:00,2026-04-27,LONG,stop,-0.3,7.0
2026-04-29 08:45:00-05:00,2026-04-29,LONG,target,0.3,4.0
2026-04-29 11:20:00-05:00,2026-04-29,LONG,target,0.3,6.0
2026-05-04 11:55:00-05:00,2026-05-04,LONG,target,0.3,28.0
2026-05-05 09:20:00-05:00,2026-05-05,LONG,target,0.3,3.0
2026-05-05 12:15:00-05:00,2026-05-05,LONG,stop,-0.3,1.0
2026-05-06 10:15:00-05:00,2026-05-06,LONG,target,0.3,4.0
2026-05-06 10:25:00-05:00,2026-05-06,LONG,target,0.3,2.0
2026-05-06 12:10:00-05:00,2026-05-06,LONG,target,0.3,8.0
2026-05-07 12:55:00-05:00,2026-05-07,LONG,stop,-0.3,7.0
2026-05-08 11:45:00-05:00,2026-05-08,LONG,target,0.3,30.0
2026-05-08 12:10:00-05:00,2026-05-08,LONG,target,0.3,25.0
2026-05-12 09:05:00-05:00,2026-05-12,LONG,scratch,0.05441191030326831,48.0
2026-05-12 11:55:00-05:00,2026-05-12,LONG,target,0.3,30.0
2026-05-12 12:25:00-05:00,2026-05-12,LONG,target,0.3,24.0
2026-05-12 13:25:00-05:00,2026-05-12,LONG,scratch,0.0414124225666421,13.0
2026-05-12 13:55:00-05:00,2026-05-12,LONG,scratch,0.10936449701504682,7.0
2026-05-13 11:20:00-05:00,2026-05-13,LONG,target,0.3,2.0
2026-05-15 09:10:00-05:00,2026-05-15,LONG,target,0.3,5.0
2026-05-15 09:35:00-05:00,2026-05-15,LONG,target,0.3,4.0
2026-05-19 12:50:00-05:00,2026-05-19,LONG,stop,-0.3,13.0
2026-05-20 11:15:00-05:00,2026-05-20,LONG,target,0.3,12.0
2026-05-20 11:40:00-05:00,2026-05-20,LONG,target,0.3,7.0
2026-05-20 12:15:00-05:00,2026-05-20,LONG,target,0.3,15.0
2026-05-20 13:30:00-05:00,2026-05-20,LONG,target,0.3,6.0
2026-05-21 09:15:00-05:00,2026-05-21,LONG,target,0.3,11.0
2026-05-22 09:55:00-05:00,2026-05-22,LONG,target,0.3,4.0
2026-05-27 08:55:00-05:00,2026-05-27,LONG,stop,-0.3,5.0
