config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_vwap+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_vwap+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:adi_up+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:adi_up+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:delta_surge+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:delta_surge+above_pivot+hist_turn_up+rvol_thrust_up|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_pivot+hist_turn_up+strong_close+rvol_thrust_up|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_pivot+hist_turn_up+strong_close+rvol_thrust_up|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_pivot+hist_turn_up+strong_close+above_vwap_v|nk0.0|vm0.8|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
LONG:above_pivot+hist_turn_up+strong_close+above_vwap_v|nk0.0|vm1.2|am_0845_1130,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,17.5
