time,date,dir,result,pnl,hold
2026-05-08 09:45:00-05:00,2026-05-08,LONG,target,0.4,13.0
2026-05-08 10:00:00-05:00,2026-05-08,LONG,scratch,-0.023842731996498587,48.0
2026-05-13 09:00:00-05:00,2026-05-13,LONG,target,0.4,16.0
2026-05-15 11:30:00-05:00,2026-05-15,LONG,stop,-0.4,4.0
2026-05-20 09:15:00-05:00,2026-05-20,LONG,target,0.4,7.0
2026-05-21 10:10:00-05:00,2026-05-21,LONG,target,0.4,10.0
2026-05-21 11:40:00-05:00,2026-05-21,LONG,target,0.4,2.0
2026-05-21 11:45:00-05:00,2026-05-21,LONG,target,0.4,3.0
2026-05-21 11:50:00-05:00,2026-05-21,LONG,target,0.4,4.0
2026-05-26 08:55:00-05:00,2026-05-26,LONG,target,0.4,2.0
2026-05-28 11:40:00-05:00,2026-05-28,LONG,target,0.4,8.0
2026-05-28 13:25:00-05:00,2026-05-28,LONG,target,0.4,5.0
2026-06-04 09:40:00-05:00,2026-06-04,LONG,target,0.4,9.0
2026-06-04 10:05:00-05:00,2026-06-04,LONG,target,0.4,4.0
2026-06-04 10:10:00-05:00,2026-06-04,LONG,target,0.4,3.0
2026-06-11 08:50:00-05:00,2026-06-11,LONG,target,0.4,2.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.4,1.0
2026-06-16 09:50:00-05:00,2026-06-16,LONG,target,0.4,1.0
2026-06-16 12:05:00-05:00,2026-06-16,LONG,scratch,-0.22532283759583283,29.0
2026-06-16 13:15:00-05:00,2026-06-16,LONG,scratch,-0.2334254633897778,15.0
2026-06-18 08:45:00-05:00,2026-06-18,LONG,target,0.4,2.0
2026-06-18 10:00:00-05:00,2026-06-18,LONG,target,0.4,1.0
2026-06-23 09:05:00-05:00,2026-06-23,LONG,target,0.4,1.0
2026-06-24 09:20:00-05:00,2026-06-24,LONG,stop,-0.4,3.0
2026-07-01 08:50:00-05:00,2026-07-01,LONG,target,0.4,3.0
2026-07-08 09:05:00-05:00,2026-07-08,LONG,target,0.4,3.0
2026-07-08 09:15:00-05:00,2026-07-08,LONG,target,0.4,1.0
2026-07-09 11:10:00-05:00,2026-07-09,LONG,target,0.4,2.0
2026-07-09 12:00:00-05:00,2026-07-09,LONG,target,0.4,5.0
2026-07-10 10:15:00-05:00,2026-07-10,LONG,stop,-0.4,27.0
2026-07-13 09:45:00-05:00,2026-07-13,LONG,target,0.4,3.0
2026-07-14 09:15:00-05:00,2026-07-14,LONG,target,0.4,3.0
2026-07-14 13:20:00-05:00,2026-07-14,LONG,stop,-0.4,4.0
2026-07-17 08:50:00-05:00,2026-07-17,LONG,target,0.4,3.0
2026-07-17 09:00:00-05:00,2026-07-17,LONG,stop,-0.4,2.0
2026-07-17 09:20:00-05:00,2026-07-17,LONG,target,0.4,4.0
2026-07-20 10:00:00-05:00,2026-07-20,LONG,target,0.4,7.0
2026-07-21 10:15:00-05:00,2026-07-21,LONG,scratch,-0.04032748080306696,48.0
2026-07-24 11:35:00-05:00,2026-07-24,LONG,stop,-0.4,9.0
2026-07-27 11:25:00-05:00,2026-07-27,LONG,target,0.4,18.0
2026-07-28 10:50:00-05:00,2026-07-28,LONG,target,0.4,18.0
2026-07-29 10:30:00-05:00,2026-07-29,LONG,stop,-0.4,7.0
2026-07-29 11:15:00-05:00,2026-07-29,LONG,target,0.4,2.0
2026-07-29 12:50:00-05:00,2026-07-29,LONG,target,0.4,2.0
2026-07-29 13:00:00-05:00,2026-07-29,LONG,target,0.4,11.0
2026-07-29 13:05:00-05:00,2026-07-29,LONG,target,0.4,8.0
2026-07-29 13:10:00-05:00,2026-07-29,LONG,target,0.4,7.0
2026-07-29 13:35:00-05:00,2026-07-29,LONG,target,0.4,4.0
2026-07-30 10:50:00-05:00,2026-07-30,LONG,target,0.4,4.0
2026-07-30 13:55:00-05:00,2026-07-30,LONG,target,0.4,3.0
2026-05-08 12:25:00-05:00,2026-05-08,SHORT,scratch,-0.31020619614693606,25.0
2026-05-08 12:40:00-05:00,2026-05-08,SHORT,scratch,-0.33231697716722947,22.0
2026-05-11 11:35:00-05:00,2026-05-11,SHORT,target,0.4,10.0
2026-05-18 11:20:00-05:00,2026-05-18,SHORT,target,0.4,1.0
2026-05-20 12:05:00-05:00,2026-05-20,SHORT,stop,-0.4,6.0
2026-05-22 12:40:00-05:00,2026-05-22,SHORT,target,0.4,16.0
2026-06-01 10:40:00-05:00,2026-06-01,SHORT,target,0.4,5.0
2026-06-01 11:40:00-05:00,2026-06-01,SHORT,target,0.4,7.0
2026-06-02 12:55:00-05:00,2026-06-02,SHORT,stop,-0.4,6.0
2026-06-04 10:30:00-05:00,2026-06-04,SHORT,target,0.4,40.0
2026-06-05 10:20:00-05:00,2026-06-05,SHORT,target,0.4,6.0
2026-06-05 10:30:00-05:00,2026-06-05,SHORT,target,0.4,32.0
2026-06-05 12:05:00-05:00,2026-06-05,SHORT,target,0.4,2.0
2026-06-05 12:40:00-05:00,2026-06-05,SHORT,target,0.4,6.0
