config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:above_vwap+poc_reject_up+adi_up+above_pivot|nk0.0|vm0.8|pm_1130_1400,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,30.7
LONG:above_vwap+poc_reject_up+adi_up+above_pivot|nk0.5|vm0.8|pm_1130_1400,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,30.7
LONG:poc_reject_up+adi_up+above_pivot+cvd_up|nk0.0|vm0.8|pm_1130_1400,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,30.7
LONG:poc_reject_up+adi_up+above_pivot+cvd_up|nk0.5|vm0.8|pm_1130_1400,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,30.7
SHORT:hist_turn_dn+weak_close+vwap_hi_reject|nk0.0|vm0.8|mid_1030_1300,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,85.7
SHORT:hist_turn_dn+weak_close+vwap_hi_reject|nk0.5|vm0.8|mid_1030_1300,7,0.12,7,0,0,100.0,100.0,inf,2.8,0.0,85.7
LONG:delta_surge+ylow_reclaim|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,10.8
LONG:delta_surge+ylow_reclaim|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,10.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,10.8
LONG:adi_up+delta_surge+ylow_reclaim|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,10.8
LONG:above_vwap+poc_reject_up+adi_up+above_pivot|nk0.8|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,30.0
LONG:above_vwap+above_pivot+macd_x_up+mom_ignite_up|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
LONG:above_vwap+above_pivot+macd_x_up+mom_ignite_up|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
LONG:above_vwap+above_pivot+macd_x_up+mom_ignite_up|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
LONG:poc_reject_up+adi_up+above_pivot+cvd_up|nk0.8|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,30.0
LONG:above_pivot+macd_x_up+cvd_up+mom_ignite_up|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
LONG:above_pivot+macd_x_up+cvd_up+mom_ignite_up|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
LONG:above_pivot+macd_x_up+cvd_up+mom_ignite_up|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,15.0
SHORT:poc_reject_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:hist_turn_dn+orb_break_dn|nk0.0|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,58.3
SHORT:vwap_loss+r1_reject+weak_close|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:vwap_loss+r1_reject+weak_close|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:below_vwap+poc_reject_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+hist_turn_dn+orb_break_dn|nk0.0|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,58.3
SHORT:poc_reject_dn+adi_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+cvd_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:hist_turn_dn+weak_close+orb_break_dn|nk0.0|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,58.3
SHORT:hist_turn_dn+weak_close+vwap_hi_reject|nk0.8|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,77.5
SHORT:vwap_loss+below_vwap+r1_reject+weak_close|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:vwap_loss+below_vwap+r1_reject+weak_close|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:vwap_loss+r1_reject+weak_close+cvd_dn|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:vwap_loss+r1_reject+weak_close+cvd_dn|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,31.7
SHORT:below_vwap+poc_reject_dn+adi_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+adi_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+adi_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+adi_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+poc_reject_dn+cvd_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+hist_turn_dn+weak_close+orb_break_dn|nk0.0|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,58.3
SHORT:poc_reject_dn+adi_dn+cvd_dn+cvd_dn_v|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn+cvd_dn_v|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn+cvd_dn_v|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:poc_reject_dn+adi_dn+cvd_dn+cvd_dn_v|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,2.4,0.0,29.2
SHORT:below_vwap+r1_reject+weak_close|nk0.0|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
SHORT:below_vwap+r1_reject+weak_close|nk0.5|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
SHORT:r1_reject+weak_close+cvd_dn|nk0.0|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
SHORT:r1_reject+weak_close+cvd_dn|nk0.5|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
SHORT:below_vwap+r1_reject+weak_close+cvd_dn|nk0.0|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
SHORT:below_vwap+r1_reject+weak_close+cvd_dn|nk0.5|vm0.8|full_0845_1400,12,0.2,11,1,0,91.7,91.7,11.0,4.0,0.4,29.6
LONG:delta_surge+ylow_reclaim|nk0.0|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:delta_surge+ylow_reclaim|nk0.0|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:delta_surge+ylow_reclaim|nk0.5|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:delta_surge+ylow_reclaim|nk0.5|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,10.6
LONG:adi_up+above_pivot+hist_turn_up+orb_break_up|nk0.0|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,32.2
LONG:adi_up+above_pivot+hist_turn_up+orb_break_up|nk0.5|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,32.2
LONG:above_pivot+hist_turn_up+orb_break_up+cvd_up|nk0.0|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,32.2
LONG:above_pivot+hist_turn_up+orb_break_up+cvd_up|nk0.5|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,32.2
SHORT:below_vwap+r1_reject+weak_close|nk0.8|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,26.7
SHORT:r1_reject+weak_close+cvd_dn|nk0.8|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,26.7
SHORT:below_vwap+adi_dn+r1_reject+weak_close|nk0.0|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,28.3
SHORT:below_vwap+adi_dn+r1_reject+weak_close|nk0.5|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,28.3
SHORT:below_vwap+r1_reject+weak_close+cvd_dn|nk0.8|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,26.7
SHORT:adi_dn+r1_reject+weak_close+cvd_dn|nk0.0|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,28.3
SHORT:adi_dn+r1_reject+weak_close+cvd_dn|nk0.5|vm0.8|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.8,0.4,28.3
LONG:delta_surge+ylow_reclaim|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:delta_surge+ylow_reclaim|nk0.0|vm1.2|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:delta_surge+ylow_reclaim|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:delta_surge+ylow_reclaim|nk0.5|vm1.2|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:poc_reject_up+above_pivot+cvd_up|nk0.0|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,32.5
LONG:poc_reject_up+above_pivot+cvd_up|nk0.5|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,32.5
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:adi_up+delta_surge+ylow_reclaim|nk0.0|vm1.2|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:adi_up+delta_surge+ylow_reclaim|nk0.5|vm1.2|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,11.2
LONG:adi_up+ylow_reclaim+hist_turn_up|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,35.0
LONG:adi_up+ylow_reclaim+hist_turn_up|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,35.0
LONG:above_vwap+poc_reject_up+above_pivot+cvd_up|nk0.0|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,32.5
LONG:above_vwap+poc_reject_up+above_pivot+cvd_up|nk0.5|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,32.5
LONG:adi_up+above_pivot+hist_turn_up+orb_break_up|nk0.8|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,2.4,0.4,26.2
