logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-07-20 10:40:23,stock,LLY,A,SHORT,below_vwap+orb_break_dn_v,2,1165.81,1165.81,1162.31,1169.31,14:35,14:35,100.0,100.0,2026-07-20 10:35,1,,30m+1h+2h+3h+4h,5,5m,,stop,11:45
2026-07-20 09:56:27,stock,LLY,A,LONG,poc_reject_up+hist_turn_up+cvd_up,1,1179.12,1179.12,1182.66,1175.58,13:55,13:55,100.0,100.0,2026-07-20 09:50,1,,1h+2h+3h+4h,4,5m,,stop,10:00
2026-07-17 12:25:28,stock,NVDA,A,SHORT,ylow_break+macd_x_dn,1,205.71,205.71,205.09,206.32,14:35,14:35,100.0,100.0,2026-07-17 12:20,1,,4h,,5m,,target,12:50
2026-07-17 12:00:45,etf,QQQ,A,LONG,adi_up+s1_bounce,1,700.5,700.5,702.6,698.4,14:35,14:35,100.0,100.0,2026-07-17 11:30,1,,1h+2h+3h+4h,4,30m,,stop,12:55
2026-07-17 10:05:28,etf,SPY,A,SHORT,macd_x_dn+weak_close+mom_ignite_dn,1,744.24,744.24,742.01,746.47,14:05,14:05,100.0,100.0,2026-07-17 10:00,1,,4h,,5m,,stop,10:55
2026-07-17 09:36:04,stock,AAPL,A,LONG,vwap_reclaim+rvol_thrust_up,1,333.93,333.93,334.94,332.93,13:35,13:35,100.0,100.0,2026-07-17 09:30,1,,1h+2h+3h+4h,4,5m,,stop,09:35
2026-07-17 09:05:23,etf,SPY,A,LONG,delta_surge+strong_close+mom_ignite_up,1,745.34,745.34,747.58,743.1,13:05,13:05,100.0,75.0,2026-07-17 09:00,1,,2h+3h+4h,3,5m,,timeout,13:05
2026-07-17 08:50:11,etf,SPX,A,LONG,vwap_reclaim+orb_break_up,1,7454.91,7454.91,7477.27,7432.55,12:50,12:50,100.0,71.4,2026-07-17 08:45,1,,1h+2h+3h+4h,4,5m,,target,09:00
2026-07-17 08:50:10,stock,LLY,A,LONG,poc_reject_up+hist_turn_up+cvd_up,1,1179.08,1179.08,1182.62,1175.54,12:50,12:50,100.0,100.0,2026-07-17 08:45,1,,4h,,5m,,target,09:00
2026-07-17 08:50:00,etf,SPY,A,LONG,vwap_reclaim+orb_break_up+cvd_up,1,743.03,743.03,745.26,740.8,12:50,12:50,100.0,75.0,2026-07-17 08:45,1,,1h+2h+3h+4h,4,5m,,target,09:00
2026-07-16 12:30:57,etf,SMH,A,LONG,macd_x_up_neg+hist_turn_up,1,568.25,568.25,569.95,566.55,14:35,14:35,100.0,100.0,2026-07-16 12:25,1,,1h+2h+3h+4h,4,,,stop,12:35
2026-07-16 11:30:11,etf,IWM,A,LONG,adi_up+above_pivot+hist_turn_up+vwap_lo_bounce,1,295.88,295.88,296.77,294.99,14:35,14:35,100.0,83.3,2026-07-16 11:25,1,,1h+2h+3h+4h,4,,,stop,12:55
2026-07-16 11:05:52,stock,TSLA,A,SHORT,vwap_loss+delta_dump+below_pivot+cvd_dn,1,390.26,390.26,389.09,391.43,14:35,14:35,100.0,100.0,2026-07-16 11:00,1,,1h+2h+3h+4h,4,5m,,target,11:10
2026-07-16 11:05:29,etf,GLD,A,SHORT,below_pivot+weak_close+vwap_loss_v,2,366.8,366.8,365.7,367.91,14:35,14:35,100.0,73.3,2026-07-16 11:00,1,,1h+2h+3h+4h,4,,,target,11:15
