logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-07-20 10:40:23,stock,LLY,B,SHORT,orb_break_dn+cvd_dn_v,10,1165.81,1165.81,1162.31,1169.31,14:35,14:35,88.9,88.9,2026-07-20 10:35,1,,30m+1h+2h+3h+4h,5,5m,,stop,11:45
2026-07-17 16:25:39,crypto,BTC,B,LONG,poc_reject_up+adi_up+hist_turn_up+strong_close,2,64138.72,64138.72,64218.72,64088.72,16:55,17:25,85.7,85.7,2026-07-17 16:20,1,,,,,,stop,16:30
2026-07-17 13:05:51,etf,IWM,B,SHORT,vwap_loss+below_pivot+weak_close+cvd_dn,2,294.18,294.18,293.3,295.07,14:35,14:35,90.9,76.9,2026-07-17 13:00,1,,1h+2h+3h+4h,4,5m,,target,14:05
2026-07-17 11:25:07,etf,IWM,B,SHORT,vwap_loss+below_pivot+hist_turn_dn+cvd_dn,2,294.04,294.04,293.16,294.92,14:35,14:35,90.9,90.9,2026-07-17 11:20,1,,1h+2h+3h+4h,4,5m,,stop,11:50
2026-07-17 09:00:20,etf,SMH,B,LONG,delta_surge+macd_x_up_neg,1,549.13,549.13,550.78,547.48,13:00,13:00,90.9,90.9,2026-07-17 08:55,1,,1h+2h+3h+4h,4,5m,,target,09:00
2026-07-17 08:50:11,etf,SPX,B,LONG,vwap_reclaim+strong_close+vwap_lo_bounce+cvd_up,4,7454.91,7454.91,7477.27,7432.55,12:50,12:50,85.7,75.0,2026-07-17 08:45,1,,1h+2h+3h+4h,4,5m,,target,09:00
2026-07-16 17:22:57,etf,GLD,B,SHORT,vwap_loss+below_vwap,1,365.94,365.94,364.84,367.04,12:15,12:15,85.7,50.0,2026-07-16 11:00,1,,1h,,15m,,timeout,12:15
2026-07-16 17:20:46,etf,SMH,B,LONG,macd_x_up_neg+hist_turn_up,1,568.25,568.25,569.95,566.55,14:35,14:35,85.7,85.7,2026-07-16 12:25,1,,1h+2h+3h,3,5m,,stop,12:35
2026-07-16 17:20:10,etf,QQQ,B,LONG,adi_up+s1_bounce+strong_close,2,712.38,712.38,714.52,710.24,12:10,12:10,87.5,87.5,2026-07-16 09:05,1,,2h+3h,2,5m,,stop,09:50
2026-07-16 11:05:29,etf,GLD,B,SHORT,vwap_loss+weak_close+cvd_dn_v,10,366.8,366.8,365.7,367.91,14:35,14:35,91.7,73.3,2026-07-16 11:00,1,,1h+2h+3h+4h,4,,,target,11:15
2026-07-16 10:55:24,etf,QQQ,B,LONG,vwap_reclaim+adi_up+macd_x_up,8,710.91,710.91,713.04,708.78,14:35,14:35,90.0,81.8,2026-07-16 10:50,1,,1h+2h+3h+4h,4,5m,,stop,11:05
2026-07-16 09:15:24,stock,TSLA,B,LONG,above_vwap+ylow_reclaim+strong_close,1,390.83,390.83,392.0,389.66,13:10,13:10,90.9,90.9,2026-07-16 09:05,2,,1h+2h+3h+4h,4,,,target,09:10
2026-07-15 13:05:33,stock,NVDA,B,LONG,vwap_reclaim+above_pivot,4,210.36,210.36,210.99,209.73,13:35,14:05,87.5,77.8,2026-07-15 13:00,1,,,,,,target,14:00
2026-07-15 12:55:59,stock,TSLA,B,LONG,poc_reject_up+strong_close,4,399.04,399.04,400.23,397.84,13:25,13:55,87.5,77.8,2026-07-15 12:50,1,,,,,,stop,13:00
2026-07-15 12:51:07,stock,TSLA,B,LONG,above_vwap+poc_reject_up,1,398.27,398.27,399.47,397.08,13:20,13:50,85.7,75.0,2026-07-15 12:45,1,,,,,,stop,13:25
2026-07-15 12:36:33,stock,TSLA,B,LONG,vwap_reclaim+adi_up,8,397.91,397.91,399.1,396.72,13:05,13:35,90.0,75.0,2026-07-15 12:30,1,,,,,,target,12:50
2026-07-15 11:51:37,etf,SMH,B,LONG,macd_x_up+macd_x_up_neg,2,578.15,578.15,579.88,576.42,12:20,12:50,85.7,80.0,2026-07-15 11:45,1,,,,,,target,11:50
2026-07-15 11:40:33,etf,IWM,B,SHORT,poc_reject_dn+below_pivot,5,294.31,294.31,293.43,295.19,11:55,12:25,87.5,70.0,2026-07-15 11:20,3,1,,,,,stop,11:45
2026-07-15 11:25:47,etf,SPY,B,SHORT,below_pivot+weak_close+cvd_dn_v+mom_ignite_dn,1,750.54,750.54,748.29,752.79,15:25,15:25,91.7,84.6,2026-07-15 11:20,1,,,,,,stop,12:25
