logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-08-03 13:01:12,etf,GLD,B,SHORT,vwap_loss+below_vwap,1,369.73,369.73,368.81,370.65,14:00,14:00,85.7,27.3,2026-08-03 12:30,1,,30m+1h,2,30m,10Y -5bp to 4.692%,stop,13:40
2026-08-03 12:55:44,etf,GLD,B,SHORT,below_pivot+weak_close+vwap_loss_v,2,369.72,369.72,368.8,370.64,14:35,14:35,87.5,63.6,2026-08-03 12:50,1,,30m+1h+2h+4h,4,5m,10Y -5bp to 4.692%,stop,13:40
2026-08-03 12:17:26,stock,COIN,B,LONG,adi_up+above_pivot+macd_x_up,6,151.37,151.37,151.98,150.76,14:35,14:35,85.7,85.7,2026-08-03 12:10,1,,30m+1h+2h+4h,4,5m,10Y -5bp to 4.692%,target,12:20
2026-08-03 11:30:41,stock,COIN,B,LONG,adi_up+above_pivot+macd_x_up,6,150.72,150.72,151.32,150.12,14:35,14:35,85.7,85.7,2026-08-03 11:25,1,,30m+1h+2h+4h,4,5m,10Y -5bp to 4.692%,stop,11:35
2026-08-03 09:28:40,stock,MU,B,LONG,macd_x_up+hist_turn_up,1,797.82,797.82,801.01,794.62,13:00,13:00,83.3,83.3,2026-08-03 08:55,1,,30m+1h+2h+4h,4,5m,10Y -5bp to 4.692%,stop,09:00
2026-08-03 09:28:25,crypto,BTC,B,SHORT,adi_dn+delta_dump+macd_x_dn_pos+hist_turn_dn,6,62611.2,62611.2,62454.67,62767.73,07:45,07:45,85.7,85.7,2026-08-03 06:40,1,,,,,10Y -5bp to 4.692%,target,07:05
2026-08-03 09:28:25,crypto,BTC,B,LONG,above_vwap+ylow_reclaim+strong_close,1,62869.46,62869.46,63026.63,62712.29,09:20,09:20,85.7,85.7,2026-08-03 08:15,2,,,,,10Y -5bp to 4.692%,stop,08:25
2026-08-03 09:28:25,crypto,BTC,B,LONG,poc_reject_up+delta_surge+strong_close,8,63292.8,63292.8,63451.03,63134.57,10:00,10:00,88.9,88.9,2026-08-03 08:55,1,,,,,10Y -5bp to 4.692%,stop,09:00
2026-07-31 12:00:39,india,BANKNIFTY,B,SHORT,below_vwap+yhigh_reject,1,591.61,591.61,590.13,593.09,14:00,14:00,83.3,62.5,2026-07-31 11:55,1,,1h+2h,2,5m,,timeout,14:00
2026-07-31 10:55:19,etf,SPX,B,LONG,above_vwap+poc_reject_up,1,7443.74,7443.74,7462.35,7425.13,14:35,14:35,77.8,70.0,2026-07-31 10:35,2,,4h,,5m,,target,11:20
2026-08-04 10:35:40,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,5,279.9,279.9,279.2,280.6,14:35,14:35,90.0,81.8,2026-08-04 10:30,1,,1h+2h+4h,3,5m,10Y +8bp to 4.745%,timeout,14:35
2026-08-04 11:30:03,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,3,280.04,280.04,279.34,280.74,15:25,15:25,90.0,81.8,2026-08-04 11:20,2,,1h+2h+4h,3,5m,10Y +8bp to 4.745%,timeout,15:25
2026-08-04 11:45:40,india,BANKNIFTY,B,SHORT,below_pivot+weak_close+orb_break_dn+cvd_dn,1,596.54,596.54,595.05,598.03,12:45,12:45,100.0,40.0,2026-08-04 11:30,1,,30m+1h+2h+4h,4,15m,10Y +8bp to 4.745%,timeout,12:45
2026-08-04 09:15:06,stock,AMZN,B,LONG,delta_surge+ylow_reclaim,26,278.45,278.45,279.56,277.34,13:10,13:10,88.9,88.9,2026-08-04 09:05,2,,30m+1h+2h+4h,4,5m,10Y +8bp to 4.745%,target,09:10
2026-08-04 11:37:37,stock,AMZN,B,LONG,delta_surge+ylow_reclaim,4,278.5,278.5,279.61,277.39,14:35,14:35,83.3,83.3,2026-08-04 11:00,1,,2h+4h,2,30m,10Y +8bp to 4.745%,stop,13:35
2026-08-04 11:50:46,stock,AMZN,B,SHORT,hist_turn_dn+weak_close+vwap_hi_reject,4,278.73,278.73,277.62,279.84,12:50,12:50,100.0,42.9,2026-08-04 11:45,1,,1h+2h+4h,3,5m,10Y +8bp to 4.745%,timeout,12:50
2026-08-04 12:00:53,stock,AMZN,B,SHORT,hist_turn_dn+vwap_hi_reject,1,278.16,278.16,277.05,279.27,13:00,13:00,83.3,50.0,2026-08-04 11:45,1,,1h,,15m,10Y +8bp to 4.745%,timeout,13:00
2026-08-04 12:31:18,stock,LLY,B,SHORT,below_vwap+poc_reject_dn+below_pivot,1,1113.85,1113.85,1109.39,1118.31,14:35,14:35,83.3,71.4,2026-08-04 12:00,1,,2h+4h,2,30m,10Y +8bp to 4.745%,stop,12:45
2026-08-04 13:01:20,etf,GLD,B,SHORT,vwap_loss+below_vwap,1,374.89,374.89,373.95,375.83,14:35,14:35,85.7,54.5,2026-08-04 12:55,1,,30m+1h+2h,3,5m+30m,10Y +8bp to 4.745%,target,13:40
2026-08-04 18:00:52,crypto,BTC,B,LONG,above_vwap+macd_x_up_neg+hist_turn_up,1,64221.82,64221.82,64382.37,64061.27,19:00,19:00,87.5,87.5,2026-08-04 17:55,1,,,,,10Y +8bp to 4.745%,target,18:05
2026-08-05 10:45:22,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,1,280.47,280.47,279.77,281.17,14:45,14:45,92.3,85.7,2026-08-05 10:40,1,,30m+1h+2h+4h,4,5m,10Y -6bp to 4.627%,timeout,14:45
2026-08-05 11:42:04,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,5,280.38,280.38,279.68,281.08,15:30,15:30,92.3,85.7,2026-08-05 11:30,3,1,30m+1h+2h+4h,4,5m,10Y -6bp to 4.627%,timeout,15:30
