config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_points,max_drawdown_pts,avg_hold_min
LONG:vwap_reclaim+adi_up+macd_x_up_neg+strong_close|nk1.2|vm0.8|full_day,7,0.12,7,0,0,100.0,100.0,inf,560.0,0.0,9.3
LONG:vwap_reclaim+adi_up+macd_x_up_neg+strong_close|nk1.2|vm1.2|full_day,7,0.12,7,0,0,100.0,100.0,inf,560.0,0.0,9.3
LONG:vwap_reclaim+delta_surge+macd_x_up_neg+strong_close|nk1.2|vm0.8|full_day,7,0.12,7,0,0,100.0,100.0,inf,560.0,0.0,9.3
LONG:vwap_reclaim+delta_surge+macd_x_up_neg+strong_close|nk1.2|vm1.2|full_day,7,0.12,7,0,0,100.0,100.0,inf,560.0,0.0,9.3
LONG:vwap_reclaim+adi_up+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+delta_surge+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+delta_surge+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:poc_reject_up+delta_surge+strong_close|nk1.2|vm0.8|us_8_16,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:poc_reject_up+delta_surge+strong_close|nk1.2|vm1.2|us_8_16,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+above_vwap+adi_up+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+above_vwap+adi_up+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+above_vwap+delta_surge+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+above_vwap+delta_surge+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+delta_surge+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+delta_surge+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+macd_x_up+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+macd_x_up+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+delta_surge+macd_x_up+macd_x_up_neg|nk1.2|vm0.8|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+delta_surge+macd_x_up+macd_x_up_neg|nk1.2|vm1.2|full_day,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:poc_reject_up+adi_up+delta_surge+strong_close|nk1.2|vm0.8|us_8_16,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:poc_reject_up+adi_up+delta_surge+strong_close|nk1.2|vm1.2|us_8_16,9,0.15,8,1,0,88.9,88.9,12.8,590.0,50.0,9.4
LONG:vwap_reclaim+adi_up+macd_x_up+strong_close|nk1.2|vm0.8|full_day,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,8.8
LONG:vwap_reclaim+adi_up+macd_x_up+strong_close|nk1.2|vm1.2|full_day,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,8.8
LONG:vwap_reclaim+delta_surge+macd_x_up+strong_close|nk1.2|vm0.8|full_day,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,8.8
LONG:vwap_reclaim+delta_surge+macd_x_up+strong_close|nk1.2|vm1.2|full_day,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,8.8
LONG:above_vwap+adi_up+macd_x_up_neg+strong_close|nk1.2|vm0.8|asia_0_8,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,11.2
LONG:above_vwap+adi_up+macd_x_up_neg+strong_close|nk1.2|vm1.2|asia_0_8,8,0.13,7,1,0,87.5,87.5,11.2,510.0,50.0,11.2
LONG:above_vwap+ylow_reclaim+strong_close|nk1.2|vm0.8|us_8_16,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,5.0
LONG:vwap_reclaim+delta_surge+above_pivot+macd_x_up_neg|nk0.6|vm0.8|full_day,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,11.4
LONG:vwap_reclaim+delta_surge+above_pivot+macd_x_up_neg|nk0.6|vm1.2|full_day,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,11.4
LONG:vwap_reclaim+delta_surge+above_pivot+macd_x_up_neg|nk0.9|vm0.8|full_day,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,11.4
LONG:vwap_reclaim+delta_surge+above_pivot+macd_x_up_neg|nk0.9|vm1.2|full_day,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,11.4
LONG:above_vwap+poc_reject_up+delta_surge+hist_turn_up|nk0.9|vm0.8|eve_16_24,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,8.6
LONG:above_vwap+poc_reject_up+delta_surge+hist_turn_up|nk0.9|vm1.2|eve_16_24,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,8.6
LONG:above_vwap+poc_reject_up+delta_surge+strong_close|nk1.2|vm0.8|us_8_16,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,6.4
LONG:above_vwap+poc_reject_up+delta_surge+strong_close|nk1.2|vm1.2|us_8_16,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,6.4
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk1.2|vm0.8|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,12.1
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk1.2|vm1.2|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,12.1
LONG:above_vwap+delta_surge+macd_x_up_neg+strong_close|nk1.2|vm0.8|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,0.0,11.4
LONG:above_vwap+delta_surge+macd_x_up_neg+strong_close|nk1.2|vm1.2|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,0.0,11.4
LONG:above_vwap+above_pivot+macd_x_up_neg+strong_close|nk1.2|vm1.2|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,12.1
LONG:poc_reject_up+delta_surge+above_pivot+strong_close|nk1.2|vm0.8|us_8_16,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
LONG:poc_reject_up+delta_surge+above_pivot+strong_close|nk1.2|vm1.2|us_8_16,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
SHORT:vwap_loss+macd_x_dn+hist_turn_dn|nk0.6|vm0.8|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
SHORT:vwap_loss+macd_x_dn+hist_turn_dn|nk0.6|vm1.2|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
SHORT:vwap_loss+below_vwap+macd_x_dn+hist_turn_dn|nk0.6|vm0.8|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
SHORT:vwap_loss+below_vwap+macd_x_dn+hist_turn_dn|nk0.6|vm1.2|asia_0_8,7,0.12,6,1,0,85.7,85.7,9.6,430.0,50.0,10.7
