time,date,dir,result,pnl,hold
2026-05-28 09:10:00-05:00,2026-05-28,LONG,target,80.0,1.0
2026-05-29 10:05:00-05:00,2026-05-29,LONG,target,80.0,1.0
2026-05-29 14:30:00-05:00,2026-05-29,LONG,target,80.0,1.0
2026-05-30 00:00:00-05:00,2026-05-30,LONG,target,80.0,1.0
2026-05-30 17:45:00-05:00,2026-05-30,LONG,target,80.0,3.0
2026-05-30 18:45:00-05:00,2026-05-30,LONG,target,80.0,3.0
2026-06-04 17:35:00-05:00,2026-06-04,LONG,target,80.0,1.0
2026-06-08 00:50:00-05:00,2026-06-08,LONG,target,80.0,2.0
2026-06-08 07:40:00-05:00,2026-06-08,LONG,stop,-50.0,1.0
2026-06-10 08:30:00-05:00,2026-06-10,LONG,target,80.0,1.0
2026-06-10 08:35:00-05:00,2026-06-10,LONG,target,80.0,1.0
2026-06-13 00:55:00-05:00,2026-06-13,LONG,target,80.0,6.0
2026-06-17 12:50:00-05:00,2026-06-17,LONG,stop,-50.0,1.0
2026-06-17 13:35:00-05:00,2026-06-17,LONG,target,80.0,1.0
2026-06-18 00:10:00-05:00,2026-06-18,LONG,target,80.0,3.0
2026-06-18 05:50:00-05:00,2026-06-18,LONG,stop,-50.0,1.0
2026-06-22 05:00:00-05:00,2026-06-22,LONG,stop,-50.0,4.0
2026-06-28 06:15:00-05:00,2026-06-28,LONG,target,80.0,1.0
2026-06-29 00:40:00-05:00,2026-06-29,LONG,target,80.0,1.0
2026-06-29 07:00:00-05:00,2026-06-29,LONG,target,80.0,1.0
2026-07-05 16:10:00-05:00,2026-07-05,LONG,target,80.0,1.0
2026-07-07 00:30:00-05:00,2026-07-07,LONG,target,80.0,4.0
2026-07-07 04:00:00-05:00,2026-07-07,LONG,target,80.0,2.0
2026-07-07 09:45:00-05:00,2026-07-07,LONG,target,80.0,1.0
2026-07-07 14:30:00-05:00,2026-07-07,LONG,target,80.0,3.0
2026-07-09 08:40:00-05:00,2026-07-09,LONG,stop,-50.0,1.0
2026-07-16 09:05:00-05:00,2026-07-16,LONG,target,80.0,1.0
2026-07-16 09:55:00-05:00,2026-07-16,LONG,stop,-50.0,1.0
2026-07-16 10:15:00-05:00,2026-07-16,LONG,target,80.0,1.0
2026-07-17 09:05:00-05:00,2026-07-17,LONG,target,80.0,1.0
2026-07-18 08:25:00-05:00,2026-07-18,LONG,target,80.0,7.0
2026-07-19 17:05:00-05:00,2026-07-19,LONG,target,80.0,1.0
2026-07-19 19:05:00-05:00,2026-07-19,LONG,target,80.0,1.0
2026-07-19 20:20:00-05:00,2026-07-19,LONG,target,80.0,1.0
2026-07-19 22:35:00-05:00,2026-07-19,LONG,target,80.0,1.0
2026-07-20 09:20:00-05:00,2026-07-20,LONG,target,80.0,1.0
2026-07-20 10:05:00-05:00,2026-07-20,LONG,target,80.0,1.0
2026-07-22 19:20:00-05:00,2026-07-22,LONG,stop,-50.0,2.0
2026-05-29 06:25:00-05:00,2026-05-29,SHORT,target,80.0,3.0
2026-06-01 02:20:00-05:00,2026-06-01,SHORT,target,80.0,2.0
2026-06-15 02:30:00-05:00,2026-06-15,SHORT,target,80.0,3.0
2026-06-17 01:20:00-05:00,2026-06-17,SHORT,target,80.0,1.0
2026-06-20 02:30:00-05:00,2026-06-20,SHORT,target,80.0,5.0
2026-06-28 01:10:00-05:00,2026-06-28,SHORT,stop,-50.0,1.0
2026-07-12 01:00:00-05:00,2026-07-12,SHORT,target,80.0,1.0
2026-07-15 05:15:00-05:00,2026-07-15,SHORT,target,80.0,1.0
