logged_at_cst,book,engine,tf,signal,direction,confluence,window,noise_k,vol_mult,acc_strict_pct,acc_tp_before_sl_pct,bt_trades,bar_time_cst,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,vwap,y_poc,pivot,atr,volume,vol_vs_med20
2026-07-14 18:13:58,A,4h,5m,above_pivot+macd_x_up+hist_turn_up,LONG,4,full_9_14,0.6,0.8,100.0,100.0,6,2026-07-14 12:25,161.68,161.68,162.17,161.19,13:00,13:30,159.26,157.75,157.53,0.906,96597,1.59
2026-07-14 18:13:58,B,4h,5m,macd_x_up+hist_turn_up,LONG,3,full_9_14,0.9,0.8,85.7,85.7,7,2026-07-14 12:25,161.68,161.68,162.17,161.19,13:00,13:30,159.26,157.75,157.53,0.906,96597,1.59
2026-07-15 10:21:09,A,4h,5m,above_pivot+macd_x_up+hist_turn_up,LONG,4,full_9_14,0.6,0.8,100.0,100.0,6,2026-07-15 10:15,164.68,164.68,165.18,164.19,10:50,11:20,163.84,159.75,160.35,1.264,142063,2.06
2026-07-15 10:21:09,B,4h,5m,macd_x_up+hist_turn_up,LONG,3,full_9_14,0.9,0.8,85.7,85.7,7,2026-07-15 10:15,164.68,164.68,165.18,164.19,10:50,11:20,163.84,159.75,160.35,1.264,142063,2.06
2026-07-20 12:55:50,B,1h,5m,above_vwap+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-20 12:50,163.74,163.74,164.23,163.25,13:55,13:55,159.76,157.75,156.8,0.699,41673,1.18
2026-07-20 12:55:50,B,2h,5m,above_vwap+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-20 12:50,163.74,163.74,164.23,163.25,14:35,14:35,159.76,157.75,156.8,0.699,41673,1.18
2026-07-20 12:55:50,B,3h,5m,above_vwap+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-20 12:50,163.74,163.74,164.23,163.25,14:35,14:35,159.76,157.75,156.8,0.699,41673,1.18
2026-07-20 12:55:50,B,4h,5m,above_vwap+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-20 12:50,163.74,163.74,164.23,163.25,14:35,14:35,159.76,157.75,156.8,0.699,41673,1.18
2026-07-20 12:59:18,B,30m,5m,above_vwap+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,86.7,92.9,15,2026-07-20 12:50,163.74,163.74,164.23,163.25,13:25,13:25,159.76,157.75,156.8,0.699,41673,1.18
2026-07-28 11:55:05,B,30m,5m,adi_up+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,85.7,92.3,14,2026-07-28 11:50,167.86,167.86,168.53,167.19,12:25,12:25,163.59,164.0,165.27,0.877,46725,1.09
2026-07-28 11:55:05,B,1h,5m,adi_up+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-28 11:50,167.86,167.86,168.53,167.19,12:55,12:55,163.59,164.0,165.27,0.877,46725,1.09
2026-07-28 11:55:05,B,2h,5m,adi_up+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-28 11:50,167.86,167.86,168.53,167.19,13:55,13:55,163.59,164.0,165.27,0.877,46725,1.09
2026-07-28 11:55:05,B,4h,5m,adi_up+above_pivot+macd_x_up,LONG,8,mid_1030_1300,0.0,0.8,92.9,92.9,14,2026-07-28 11:50,167.86,167.86,168.53,167.19,14:35,14:35,163.59,164.0,165.27,0.877,46725,1.09
2026-08-03 11:30:41,B,30m,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,78.6,84.6,14,2026-08-03 11:25,150.72,150.72,151.32,150.12,12:00,12:00,146.13,150.5,146.34,0.863,76123,1.0
2026-08-03 11:30:41,B,1h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 11:25,150.72,150.72,151.32,150.12,12:30,12:30,146.13,150.5,146.34,0.863,76123,1.0
2026-08-03 11:30:41,B,2h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 11:25,150.72,150.72,151.32,150.12,13:30,13:30,146.13,150.5,146.34,0.863,76123,1.0
2026-08-03 11:30:41,B,4h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 11:25,150.72,150.72,151.32,150.12,14:35,14:35,146.13,150.5,146.34,0.863,76123,1.0
2026-08-03 12:17:26,B,30m,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,78.6,84.6,14,2026-08-03 12:10,151.37,151.37,151.98,150.76,12:45,12:45,146.49,150.5,146.34,0.796,61893,1.17
2026-08-03 12:17:26,B,1h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 12:10,151.37,151.37,151.98,150.76,13:15,13:15,146.49,150.5,146.34,0.796,61893,1.17
2026-08-03 12:17:26,B,2h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 12:10,151.37,151.37,151.98,150.76,14:15,14:15,146.49,150.5,146.34,0.796,61893,1.17
2026-08-03 12:17:26,B,4h,5m,adi_up+above_pivot+macd_x_up,LONG,6,mid_1030_1300,0.0,0.8,85.7,85.7,14,2026-08-03 12:10,151.37,151.37,151.98,150.76,14:35,14:35,146.49,150.5,146.34,0.796,61893,1.17
