time,date,dir,result,pnl,hold
2026-04-22 12:35:00-05:00,2026-04-22,LONG,target,0.3,3.0
2026-04-22 13:40:00-05:00,2026-04-22,LONG,target,0.3,1.0
2026-04-24 11:55:00-05:00,2026-04-24,LONG,target,0.3,3.0
2026-04-30 09:00:00-05:00,2026-04-30,LONG,target,0.3,1.0
2026-04-30 12:40:00-05:00,2026-04-30,LONG,target,0.3,3.0
2026-05-01 09:45:00-05:00,2026-05-01,LONG,target,0.3,2.0
2026-05-04 09:10:00-05:00,2026-05-04,LONG,target,0.3,1.0
2026-05-04 12:40:00-05:00,2026-05-04,LONG,target,0.3,1.0
2026-05-06 10:40:00-05:00,2026-05-06,LONG,target,0.3,1.0
2026-05-07 08:45:00-05:00,2026-05-07,LONG,target,0.3,1.0
2026-05-08 12:25:00-05:00,2026-05-08,LONG,target,0.3,1.0
2026-05-11 11:20:00-05:00,2026-05-11,LONG,target,0.3,1.0
2026-05-11 12:30:00-05:00,2026-05-11,LONG,target,0.3,2.0
2026-05-11 13:25:00-05:00,2026-05-11,LONG,target,0.3,1.0
2026-05-11 13:30:00-05:00,2026-05-11,LONG,target,0.3,1.0
2026-05-19 08:45:00-05:00,2026-05-19,LONG,target,0.3,1.0
2026-05-19 11:45:00-05:00,2026-05-19,LONG,target,0.3,1.0
2026-05-19 11:50:00-05:00,2026-05-19,LONG,target,0.3,2.0
2026-05-20 12:25:00-05:00,2026-05-20,LONG,target,0.3,2.0
2026-05-28 12:40:00-05:00,2026-05-28,LONG,target,0.3,1.0
2026-06-08 12:50:00-05:00,2026-06-08,LONG,target,0.3,2.0
2026-06-08 13:00:00-05:00,2026-06-08,LONG,target,0.3,1.0
2026-06-11 12:30:00-05:00,2026-06-11,LONG,stop,-0.3,1.0
2026-06-22 12:15:00-05:00,2026-06-22,LONG,stop,-0.3,2.0
2026-06-26 10:30:00-05:00,2026-06-26,LONG,target,0.3,1.0
2026-07-01 10:00:00-05:00,2026-07-01,LONG,target,0.3,1.0
2026-07-10 12:40:00-05:00,2026-07-10,LONG,target,0.3,1.0
2026-07-14 10:45:00-05:00,2026-07-14,LONG,stop,-0.3,1.0
2026-07-14 12:25:00-05:00,2026-07-14,LONG,target,0.3,1.0
2026-07-15 10:15:00-05:00,2026-07-15,LONG,stop,-0.3,1.0
2026-07-15 11:50:00-05:00,2026-07-15,LONG,target,0.3,1.0
2026-07-15 11:55:00-05:00,2026-07-15,LONG,target,0.3,1.0
2026-07-15 12:00:00-05:00,2026-07-15,LONG,target,0.3,2.0
2026-07-15 13:25:00-05:00,2026-07-15,LONG,target,0.3,1.0
2026-04-21 10:50:00-05:00,2026-04-21,SHORT,stop,-0.3,1.0
2026-04-23 12:40:00-05:00,2026-04-23,SHORT,target,0.3,1.0
2026-05-07 10:55:00-05:00,2026-05-07,SHORT,target,0.3,2.0
2026-05-07 12:25:00-05:00,2026-05-07,SHORT,target,0.3,1.0
2026-05-07 13:20:00-05:00,2026-05-07,SHORT,target,0.3,1.0
2026-05-26 11:45:00-05:00,2026-05-26,SHORT,stop,-0.3,4.0
2026-06-03 11:15:00-05:00,2026-06-03,SHORT,target,0.3,1.0
2026-06-11 12:10:00-05:00,2026-06-11,SHORT,target,0.3,1.0
2026-06-18 12:20:00-05:00,2026-06-18,SHORT,target,0.3,1.0
2026-06-22 12:00:00-05:00,2026-06-22,SHORT,target,0.3,1.0
2026-06-22 13:40:00-05:00,2026-06-22,SHORT,target,0.3,2.0
2026-06-25 11:30:00-05:00,2026-06-25,SHORT,target,0.3,1.0
2026-07-02 13:10:00-05:00,2026-07-02,SHORT,target,0.3,1.0
2026-07-07 13:30:00-05:00,2026-07-07,SHORT,target,0.3,2.0
2026-07-13 12:45:00-05:00,2026-07-13,SHORT,target,0.3,1.0
