time,date,dir,result,pnl,hold
2026-04-21 09:20:00-05:00,2026-04-21,SHORT,target,0.3,4.0
2026-04-21 09:30:00-05:00,2026-04-21,SHORT,target,0.3,2.0
2026-04-21 10:20:00-05:00,2026-04-21,SHORT,target,0.3,9.0
2026-04-22 08:45:00-05:00,2026-04-22,SHORT,target,0.3,4.0
2026-04-22 09:20:00-05:00,2026-04-22,SHORT,target,0.3,3.0
2026-04-23 08:55:00-05:00,2026-04-23,SHORT,stop,-0.3,16.0
2026-04-23 10:05:00-05:00,2026-04-23,SHORT,target,0.3,24.0
2026-04-23 12:00:00-05:00,2026-04-23,SHORT,target,0.3,1.0
2026-04-23 12:05:00-05:00,2026-04-23,SHORT,target,0.3,7.0
2026-04-24 09:10:00-05:00,2026-04-24,SHORT,target,0.3,18.0
2026-04-27 08:45:00-05:00,2026-04-27,SHORT,target,0.3,15.0
2026-04-27 09:05:00-05:00,2026-04-27,SHORT,target,0.3,11.0
2026-04-27 09:20:00-05:00,2026-04-27,SHORT,target,0.3,7.0
2026-04-27 09:25:00-05:00,2026-04-27,SHORT,target,0.3,7.0
2026-04-27 09:30:00-05:00,2026-04-27,SHORT,target,0.3,6.0
2026-04-27 09:45:00-05:00,2026-04-27,SHORT,target,0.3,2.0
2026-04-27 09:50:00-05:00,2026-04-27,SHORT,target,0.3,3.0
2026-04-27 12:35:00-05:00,2026-04-27,SHORT,scratch,0.02792207497091332,23.0
2026-04-29 11:30:00-05:00,2026-04-29,SHORT,target,0.3,19.0
2026-04-29 13:00:00-05:00,2026-04-29,SHORT,target,0.3,2.0
2026-04-29 13:05:00-05:00,2026-04-29,SHORT,target,0.3,8.0
2026-05-01 12:30:00-05:00,2026-05-01,SHORT,target,0.3,8.0
2026-05-01 12:40:00-05:00,2026-05-01,SHORT,target,0.3,7.0
2026-05-01 12:50:00-05:00,2026-05-01,SHORT,target,0.3,4.0
2026-05-04 09:55:00-05:00,2026-05-04,SHORT,target,0.3,3.0
2026-05-04 10:10:00-05:00,2026-05-04,SHORT,target,0.3,2.0
2026-05-05 09:00:00-05:00,2026-05-05,SHORT,target,0.3,3.0
2026-05-05 09:10:00-05:00,2026-05-05,SHORT,target,0.3,27.0
2026-05-05 09:30:00-05:00,2026-05-05,SHORT,target,0.3,18.0
2026-05-05 11:05:00-05:00,2026-05-05,SHORT,scratch,0.15155364334725538,41.0
2026-05-05 12:50:00-05:00,2026-05-05,SHORT,scratch,0.03942573899198295,20.0
2026-05-07 10:20:00-05:00,2026-05-07,SHORT,target,0.3,6.0
2026-05-07 10:25:00-05:00,2026-05-07,SHORT,target,0.3,6.0
2026-05-07 11:05:00-05:00,2026-05-07,SHORT,target,0.3,16.0
2026-05-07 11:10:00-05:00,2026-05-07,SHORT,target,0.3,15.0
2026-05-07 11:35:00-05:00,2026-05-07,SHORT,target,0.3,10.0
2026-05-07 12:25:00-05:00,2026-05-07,SHORT,stop,-0.3,7.0
2026-05-07 13:30:00-05:00,2026-05-07,SHORT,target,0.3,3.0
2026-05-07 13:35:00-05:00,2026-05-07,SHORT,target,0.3,3.0
2026-05-08 09:00:00-05:00,2026-05-08,SHORT,target,0.3,2.0
2026-05-08 09:45:00-05:00,2026-05-08,SHORT,target,0.3,9.0
2026-05-11 09:25:00-05:00,2026-05-11,SHORT,target,0.3,27.0
2026-05-11 09:45:00-05:00,2026-05-11,SHORT,target,0.3,23.0
2026-05-11 11:05:00-05:00,2026-05-11,SHORT,target,0.3,7.0
2026-05-12 09:15:00-05:00,2026-05-12,SHORT,target,0.3,3.0
2026-05-12 09:45:00-05:00,2026-05-12,SHORT,target,0.3,5.0
2026-05-13 09:15:00-05:00,2026-05-13,SHORT,stop,-0.3,3.0
2026-05-14 13:00:00-05:00,2026-05-14,SHORT,scratch,0.1154794175611439,18.0
2026-05-14 13:35:00-05:00,2026-05-14,SHORT,scratch,0.12013684609029171,11.0
2026-05-18 09:00:00-05:00,2026-05-18,SHORT,target,0.3,6.0
