logged_at_cst,book,engine,tf,signal,direction,confluence,window,noise_k,vol_mult,acc_strict_pct,acc_tp_before_sl_pct,bt_trades,bar_time_cst,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,vwap,y_poc,pivot,atr,volume,vol_vs_med20
2026-07-15 11:26:11,B,4h,5m,poc_reject_dn+below_pivot,SHORT,5,pm_11_14,0.6,0.8,70.0,87.5,10,2026-07-15 11:20,294.31,294.31,293.43,295.19,11:55,12:25,295.73,294.5,294.77,0.464,320104,1.67
2026-07-15 11:35:09,B,4h,5m,poc_reject_dn+below_pivot,SHORT,5,pm_11_14,0.6,0.8,70.0,87.5,10,2026-07-15 11:30,294.24,294.24,293.36,295.12,12:05,12:35,295.65,294.5,294.77,0.471,270036,1.38
2026-07-15 11:40:33,B,4h,5m,poc_reject_dn+below_pivot,SHORT,2,pm_11_14,0.6,0.8,70.0,87.5,10,2026-07-15 11:35,294.32,294.32,293.44,295.2,12:10,12:40,295.63,294.5,294.77,0.462,170360,0.87
2026-07-16 11:30:11,A,1h,5m,adi_up+above_pivot+hist_turn_up+vwap_lo_bounce,LONG,1,full_0845_1400,0.0,0.8,66.7,100.0,6,2026-07-16 11:25,295.88,295.88,296.77,294.99,12:30,12:30,296.44,295.5,295.69,0.445,321873,1.83
2026-07-16 11:30:11,A,2h,5m,adi_up+above_pivot+hist_turn_up+vwap_lo_bounce,LONG,1,full_0845_1400,0.0,0.8,83.3,100.0,6,2026-07-16 11:25,295.88,295.88,296.77,294.99,13:30,13:30,296.44,295.5,295.69,0.445,321873,1.83
2026-07-16 11:30:11,A,3h,5m,adi_up+above_pivot+hist_turn_up+vwap_lo_bounce,LONG,1,full_0845_1400,0.0,0.8,83.3,100.0,6,2026-07-16 11:25,295.88,295.88,296.77,294.99,14:30,14:30,296.44,295.5,295.69,0.445,321873,1.83
2026-07-16 11:30:11,A,4h,5m,adi_up+above_pivot+hist_turn_up+vwap_lo_bounce,LONG,1,full_0845_1400,0.0,0.8,83.3,100.0,6,2026-07-16 11:25,295.88,295.88,296.77,294.99,14:35,14:35,296.44,295.5,295.69,0.445,321873,1.83
2026-07-17 11:25:07,B,1h,5m,vwap_loss+below_pivot+hist_turn_dn+cvd_dn,SHORT,2,full_0845_1400,0.8,0.8,81.8,90.0,11,2026-07-17 11:20,294.04,294.04,293.16,294.92,12:25,12:25,294.09,295.25,295.92,0.55,278970,0.93
2026-07-17 11:25:07,B,2h,5m,vwap_loss+below_pivot+hist_turn_dn+cvd_dn,SHORT,2,full_0845_1400,0.8,0.8,90.9,90.9,11,2026-07-17 11:20,294.04,294.04,293.16,294.92,13:25,13:25,294.09,295.25,295.92,0.55,278970,0.93
2026-07-17 11:25:07,B,3h,5m,vwap_loss+below_pivot+hist_turn_dn+cvd_dn,SHORT,2,full_0845_1400,0.8,0.8,90.9,90.9,11,2026-07-17 11:20,294.04,294.04,293.16,294.92,14:25,14:25,294.09,295.25,295.92,0.55,278970,0.93
