time,date,dir,result,pnl,hold
2026-04-22 10:25:00-05:00,2026-04-22,LONG,stop,-0.3,3.0
2026-04-24 12:50:00-05:00,2026-04-24,LONG,scratch,-0.2469972926693435,20.0
2026-04-27 12:25:00-05:00,2026-04-27,LONG,scratch,-0.021677045089245617,25.0
2026-05-01 09:05:00-05:00,2026-05-01,LONG,target,0.3,2.0
2026-05-01 10:35:00-05:00,2026-05-01,LONG,target,0.3,27.0
2026-05-06 09:15:00-05:00,2026-05-06,LONG,target,0.3,5.0
2026-05-20 12:10:00-05:00,2026-05-20,LONG,target,0.3,28.0
2026-05-21 08:45:00-05:00,2026-05-21,LONG,target,0.3,1.0
2026-05-21 12:10:00-05:00,2026-05-21,LONG,target,0.3,1.0
2026-05-22 09:25:00-05:00,2026-05-22,LONG,target,0.3,17.0
2026-05-22 12:20:00-05:00,2026-05-22,LONG,target,0.3,1.0
2026-05-26 11:15:00-05:00,2026-05-26,LONG,scratch,0.2123438452949906,39.0
2026-05-26 12:45:00-05:00,2026-05-26,LONG,scratch,0.17775235699625377,21.0
2026-05-27 09:05:00-05:00,2026-05-27,LONG,stop,-0.3,4.0
2026-06-02 09:30:00-05:00,2026-06-02,LONG,target,0.3,3.0
2026-06-08 09:25:00-05:00,2026-06-08,LONG,target,0.3,2.0
2026-06-08 12:35:00-05:00,2026-06-08,LONG,target,0.3,6.0
2026-06-10 10:50:00-05:00,2026-06-10,LONG,target,0.3,2.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-12 08:45:00-05:00,2026-06-12,LONG,target,0.3,2.0
2026-06-15 10:20:00-05:00,2026-06-15,LONG,target,0.3,4.0
2026-06-18 09:15:00-05:00,2026-06-18,LONG,target,0.3,1.0
2026-06-18 09:40:00-05:00,2026-06-18,LONG,target,0.3,3.0
2026-06-22 09:55:00-05:00,2026-06-22,LONG,target,0.3,7.0
2026-06-22 11:45:00-05:00,2026-06-22,LONG,target,0.3,18.0
2026-06-24 12:45:00-05:00,2026-06-24,LONG,target,0.3,7.0
2026-06-30 08:50:00-05:00,2026-06-30,LONG,target,0.3,3.0
2026-07-01 08:45:00-05:00,2026-07-01,LONG,target,0.3,1.0
2026-07-01 13:55:00-05:00,2026-07-01,LONG,scratch,0.08826760493517961,7.0
2026-07-14 09:15:00-05:00,2026-07-14,LONG,target,0.3,3.0
2026-04-23 08:55:00-05:00,2026-04-23,SHORT,stop,-0.3,10.0
2026-04-28 08:45:00-05:00,2026-04-28,SHORT,target,0.3,3.0
2026-04-28 09:00:00-05:00,2026-04-28,SHORT,target,0.3,5.0
2026-04-29 09:45:00-05:00,2026-04-29,SHORT,target,0.3,4.0
2026-04-29 10:00:00-05:00,2026-04-29,SHORT,target,0.3,10.0
2026-05-08 13:55:00-05:00,2026-05-08,SHORT,scratch,-0.23991133121825473,7.0
2026-05-15 09:45:00-05:00,2026-05-15,SHORT,target,0.3,14.0
2026-05-15 12:25:00-05:00,2026-05-15,SHORT,target,0.3,13.0
2026-05-15 12:35:00-05:00,2026-05-15,SHORT,target,0.3,11.0
2026-05-15 13:15:00-05:00,2026-05-15,SHORT,scratch,-0.019780064985686605,15.0
2026-05-18 09:00:00-05:00,2026-05-18,SHORT,target,0.3,6.0
2026-05-18 09:10:00-05:00,2026-05-18,SHORT,target,0.3,4.0
2026-05-27 12:05:00-05:00,2026-05-27,SHORT,stop,-0.3,16.0
2026-06-01 08:50:00-05:00,2026-06-01,SHORT,target,0.3,9.0
2026-06-03 09:15:00-05:00,2026-06-03,SHORT,stop,-0.3,2.0
2026-06-03 11:15:00-05:00,2026-06-03,SHORT,target,0.3,5.0
2026-06-08 13:35:00-05:00,2026-06-08,SHORT,target,0.3,9.0
2026-06-12 11:00:00-05:00,2026-06-12,SHORT,stop,-0.3,2.0
2026-06-12 13:55:00-05:00,2026-06-12,SHORT,scratch,-0.10240238281906781,7.0
2026-06-15 10:30:00-05:00,2026-06-15,SHORT,target,0.3,41.0
2026-06-15 11:45:00-05:00,2026-06-15,SHORT,target,0.3,26.0
2026-06-15 11:55:00-05:00,2026-06-15,SHORT,target,0.3,23.0
2026-06-15 12:05:00-05:00,2026-06-15,SHORT,target,0.3,23.0
2026-06-16 09:15:00-05:00,2026-06-16,SHORT,target,0.3,2.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,stop,-0.3,1.0
2026-06-17 13:55:00-05:00,2026-06-17,SHORT,target,0.3,3.0
2026-06-23 13:15:00-05:00,2026-06-23,SHORT,target,0.3,5.0
2026-06-24 12:05:00-05:00,2026-06-24,SHORT,target,0.3,3.0
2026-06-24 12:15:00-05:00,2026-06-24,SHORT,target,0.3,2.0
2026-06-25 11:20:00-05:00,2026-06-25,SHORT,target,0.3,4.0
2026-06-26 11:05:00-05:00,2026-06-26,SHORT,target,0.3,18.0
2026-06-26 11:20:00-05:00,2026-06-26,SHORT,stop,-0.3,9.0
2026-06-26 12:15:00-05:00,2026-06-26,SHORT,target,0.3,14.0
2026-06-29 08:45:00-05:00,2026-06-29,SHORT,target,0.3,3.0
2026-06-29 11:15:00-05:00,2026-06-29,SHORT,stop,-0.3,11.0
2026-07-01 12:30:00-05:00,2026-07-01,SHORT,target,0.3,14.0
2026-07-01 12:50:00-05:00,2026-07-01,SHORT,target,0.3,12.0
2026-07-08 09:00:00-05:00,2026-07-08,SHORT,target,0.3,3.0
2026-07-10 08:55:00-05:00,2026-07-10,SHORT,target,0.3,3.0
2026-07-13 09:00:00-05:00,2026-07-13,SHORT,target,0.3,3.0
2026-07-13 10:50:00-05:00,2026-07-13,SHORT,target,0.3,7.0
2026-07-15 11:00:00-05:00,2026-07-15,SHORT,target,0.3,3.0
