config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.9
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.9
SHORT:vwap_loss+below_vwap+below_pivot+hist_turn_dn|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.9
SHORT:vwap_loss+below_vwap+below_pivot+hist_turn_dn|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.9
SHORT:vwap_loss+below_pivot+weak_close+cvd_dn|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,30.0
SHORT:vwap_loss+below_pivot+weak_close+cvd_dn|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,30.0
SHORT:vwap_loss+below_pivot+weak_close+cvd_dn|nk0.8|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,30.0
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,17.5
SHORT:vwap_loss+below_vwap+below_pivot+hist_turn_dn|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,17.5
SHORT:vwap_loss+below_pivot+hist_turn_dn+weak_close|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,18.3
SHORT:vwap_loss+below_pivot+hist_turn_dn+weak_close|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,18.3
SHORT:vwap_loss+below_pivot+hist_turn_dn+cvd_dn|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,18.3
SHORT:vwap_loss+below_pivot+hist_turn_dn+cvd_dn|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,18.3
SHORT:vwap_loss+below_pivot+hist_turn_dn+cvd_dn|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,18.3
SHORT:vwap_loss+below_pivot+weak_close+cvd_dn|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,31.7
SHORT:vwap_loss+below_pivot+hist_turn_dn+cvd_dn|nk0.8|vm0.8|full_0845_1400,11,0.18,10,1,0,90.9,90.9,10.0,2.7,0.3,25.5
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.0|vm1.2|full_0845_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,17.0
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.5|vm1.2|full_0845_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,17.0
SHORT:vwap_loss+below_vwap+below_pivot+hist_turn_dn|nk0.0|vm1.2|full_0845_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,17.0
SHORT:vwap_loss+below_vwap+below_pivot+hist_turn_dn|nk0.5|vm1.2|full_0845_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,17.0
SHORT:vwap_loss+adi_dn+below_pivot+hist_turn_dn|nk0.8|vm0.8|full_0845_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,26.5
SHORT:vwap_loss+below_pivot+hist_turn_dn|nk0.8|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,16.7
SHORT:vwap_loss+below_pivot+cvd_dn|nk0.0|vm1.2|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,30.0
