time,date,dir,result,pnl,hold
2026-06-08 12:10:00-05:00,2026-06-08,LONG,target,0.3,4.0
2026-06-08 12:15:00-05:00,2026-06-08,LONG,target,0.3,5.0
2026-06-25 13:10:00-05:00,2026-06-25,LONG,target,0.3,2.0
2026-07-07 11:35:00-05:00,2026-07-07,LONG,stop,-0.3,5.0
2026-07-07 12:50:00-05:00,2026-07-07,LONG,target,0.3,7.0
2026-07-07 13:00:00-05:00,2026-07-07,LONG,target,0.3,5.0
2026-07-07 13:15:00-05:00,2026-07-07,LONG,target,0.3,11.0
2026-04-20 13:15:00-05:00,2026-04-20,SHORT,target,0.3,12.0
2026-04-20 13:55:00-05:00,2026-04-20,SHORT,target,0.3,4.0
2026-04-23 09:15:00-05:00,2026-04-23,SHORT,target,0.3,8.0
2026-04-23 09:30:00-05:00,2026-04-23,SHORT,target,0.3,6.0
2026-04-23 09:45:00-05:00,2026-04-23,SHORT,target,0.3,2.0
2026-04-28 11:00:00-05:00,2026-04-28,SHORT,target,0.3,10.0
2026-05-01 13:55:00-05:00,2026-05-01,SHORT,target,0.3,6.0
2026-05-04 13:30:00-05:00,2026-05-04,SHORT,stop,-0.3,6.0
2026-05-06 10:05:00-05:00,2026-05-06,SHORT,target,0.3,6.0
2026-05-13 10:05:00-05:00,2026-05-13,SHORT,stop,-0.3,1.0
2026-05-15 10:00:00-05:00,2026-05-15,SHORT,target,0.3,8.0
2026-05-18 13:30:00-05:00,2026-05-18,SHORT,target,0.3,5.0
2026-05-18 13:45:00-05:00,2026-05-18,SHORT,target,0.3,2.0
2026-05-29 09:35:00-05:00,2026-05-29,SHORT,target,0.3,2.0
2026-06-08 10:30:00-05:00,2026-06-08,SHORT,target,0.3,2.0
2026-06-09 09:30:00-05:00,2026-06-09,SHORT,target,0.3,3.0
2026-06-23 09:40:00-05:00,2026-06-23,SHORT,target,0.3,1.0
2026-06-29 09:55:00-05:00,2026-06-29,SHORT,target,0.3,1.0
2026-06-30 13:40:00-05:00,2026-06-30,SHORT,target,0.3,10.0
2026-07-09 13:25:00-05:00,2026-07-09,SHORT,target,0.3,1.0
2026-07-09 13:30:00-05:00,2026-07-09,SHORT,stop,-0.3,4.0
2026-07-14 13:20:00-05:00,2026-07-14,SHORT,scratch,0.04157186916618059,14.0
