config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:below_vwap+orb_break_dn_v|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn_v|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn_v|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn_v|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:orb_break_dn+orb_break_dn_v|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:orb_break_dn+orb_break_dn_v|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:orb_break_dn+orb_break_dn_v|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:orb_break_dn+orb_break_dn_v|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn+orb_break_dn_v|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn+orb_break_dn_v|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn+orb_break_dn_v|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:below_vwap+orb_break_dn+orb_break_dn_v|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,19.3
SHORT:weak_close+orb_break_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:weak_close+orb_break_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:weak_close+orb_break_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:weak_close+orb_break_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:orb_break_dn+cvd_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn+cvd_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn+cvd_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn+cvd_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:orb_break_dn_v+cvd_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+weak_close+orb_break_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:below_vwap+weak_close+orb_break_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:below_vwap+weak_close+orb_break_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:below_vwap+weak_close+orb_break_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,21.7
SHORT:below_vwap+orb_break_dn+cvd_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn+cvd_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn+cvd_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn+cvd_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn_v|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
SHORT:below_vwap+orb_break_dn_v+cvd_dn_v|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,20.0
