config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:macd_x_up+hist_turn_up|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,5.0
LONG:macd_x_up+hist_turn_up+strong_close|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,5.0
SHORT:below_pivot+weak_close+orb_break_dn|nk0.0|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,6.2
SHORT:below_vwap+below_pivot+weak_close+orb_break_dn|nk0.0|vm0.8|pm_1130_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,6.2
LONG:vwap_reclaim+rvol_thrust_up|nk0.0|vm0.8|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,9.3
LONG:vwap_reclaim+above_vwap_v|nk0.0|vm0.8|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,9.3
LONG:vwap_reclaim+rsi_thrust_up|nk0.0|vm0.8|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,12.1
LONG:yhigh_break+hist_turn_up|nk0.0|vm0.8|pm_1130_1400,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.0,11.4
LONG:above_pivot+vwap_lo_bounce|nk0.0|vm1.2|pm_1130_1400,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,11.4
LONG:vwap_reclaim_v+rvol_thrust_up|nk0.0|vm0.8|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,9.3
