time,date,dir,result,pnl,hold
2026-04-20 11:05:00-05:00,2026-04-20,LONG,target,0.3,1.0
2026-04-21 12:05:00-05:00,2026-04-21,LONG,target,0.3,4.0
2026-04-22 09:10:00-05:00,2026-04-22,LONG,target,0.3,1.0
2026-04-24 12:20:00-05:00,2026-04-24,LONG,target,0.3,3.0
2026-04-24 13:20:00-05:00,2026-04-24,LONG,target,0.3,2.0
2026-04-24 13:30:00-05:00,2026-04-24,LONG,target,0.3,6.0
2026-04-28 12:30:00-05:00,2026-04-28,LONG,target,0.3,1.0
2026-05-01 12:45:00-05:00,2026-05-01,LONG,target,0.3,4.0
2026-05-01 13:05:00-05:00,2026-05-01,LONG,target,0.3,2.0
2026-05-05 11:40:00-05:00,2026-05-05,LONG,target,0.3,1.0
2026-05-06 11:35:00-05:00,2026-05-06,LONG,stop,-0.3,2.0
2026-05-06 12:35:00-05:00,2026-05-06,LONG,target,0.3,1.0
2026-05-11 11:40:00-05:00,2026-05-11,LONG,target,0.3,1.0
2026-05-13 12:10:00-05:00,2026-05-13,LONG,target,0.3,3.0
2026-05-14 11:50:00-05:00,2026-05-14,LONG,stop,-0.3,1.0
2026-05-14 12:45:00-05:00,2026-05-14,LONG,target,0.3,2.0
2026-05-15 11:40:00-05:00,2026-05-15,LONG,stop,-0.3,2.0
2026-05-20 13:55:00-05:00,2026-05-20,LONG,target,0.3,1.0
2026-05-21 11:25:00-05:00,2026-05-21,LONG,target,0.3,1.0
2026-05-22 11:45:00-05:00,2026-05-22,LONG,target,0.3,2.0
2026-05-27 13:40:00-05:00,2026-05-27,LONG,target,0.3,3.0
2026-05-28 09:25:00-05:00,2026-05-28,LONG,stop,-0.3,1.0
2026-05-29 12:20:00-05:00,2026-05-29,LONG,stop,-0.3,1.0
2026-05-29 13:00:00-05:00,2026-05-29,LONG,target,0.3,2.0
2026-06-02 12:00:00-05:00,2026-06-02,LONG,stop,-0.3,1.0
2026-06-02 13:05:00-05:00,2026-06-02,LONG,target,0.3,1.0
2026-06-03 12:20:00-05:00,2026-06-03,LONG,target,0.3,1.0
2026-06-11 13:40:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-12 11:45:00-05:00,2026-06-12,LONG,target,0.3,1.0
2026-06-15 09:00:00-05:00,2026-06-15,LONG,target,0.3,1.0
2026-06-22 11:10:00-05:00,2026-06-22,LONG,target,0.3,2.0
2026-06-24 10:25:00-05:00,2026-06-24,LONG,target,0.3,1.0
2026-06-30 08:50:00-05:00,2026-06-30,LONG,target,0.3,1.0
2026-06-30 13:25:00-05:00,2026-06-30,LONG,target,0.3,3.0
2026-07-06 12:00:00-05:00,2026-07-06,LONG,target,0.3,1.0
2026-07-08 11:20:00-05:00,2026-07-08,LONG,target,0.3,1.0
2026-07-08 13:35:00-05:00,2026-07-08,LONG,target,0.3,5.0
2026-07-09 08:50:00-05:00,2026-07-09,LONG,target,0.3,1.0
2026-07-09 11:35:00-05:00,2026-07-09,LONG,target,0.3,1.0
2026-07-10 08:45:00-05:00,2026-07-10,LONG,target,0.3,1.0
2026-07-13 13:45:00-05:00,2026-07-13,LONG,stop,-0.3,5.0
2026-04-21 12:15:00-05:00,2026-04-21,SHORT,stop,-0.3,2.0
2026-04-23 13:55:00-05:00,2026-04-23,SHORT,target,0.3,1.0
2026-05-07 12:10:00-05:00,2026-05-07,SHORT,target,0.3,1.0
2026-05-07 13:20:00-05:00,2026-05-07,SHORT,target,0.3,1.0
2026-05-14 11:55:00-05:00,2026-05-14,SHORT,target,0.3,2.0
2026-05-14 12:05:00-05:00,2026-05-14,SHORT,target,0.3,1.0
2026-06-10 12:05:00-05:00,2026-06-10,SHORT,target,0.3,1.0
2026-06-10 13:30:00-05:00,2026-06-10,SHORT,target,0.3,1.0
2026-06-23 11:50:00-05:00,2026-06-23,SHORT,target,0.3,2.0
2026-06-23 13:35:00-05:00,2026-06-23,SHORT,target,0.3,1.0
2026-06-24 12:15:00-05:00,2026-06-24,SHORT,target,0.3,1.0
2026-06-26 12:55:00-05:00,2026-06-26,SHORT,target,0.3,2.0
2026-07-06 12:25:00-05:00,2026-07-06,SHORT,target,0.3,3.0
2026-07-06 12:55:00-05:00,2026-07-06,SHORT,stop,-0.3,1.0
2026-07-10 10:35:00-05:00,2026-07-10,SHORT,target,0.3,1.0
2026-07-13 11:30:00-05:00,2026-07-13,SHORT,target,0.3,1.0
