config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:vwap_reclaim+above_vwap|nk0.8|vm1.2|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:vwap_reclaim+vwap_reclaim_v|nk0.8|vm0.8|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:vwap_reclaim+vwap_reclaim_v|nk0.8|vm1.2|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:above_vwap+vwap_reclaim_v|nk0.8|vm0.8|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:above_vwap+vwap_reclaim_v|nk0.8|vm1.2|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:vwap_reclaim+above_vwap+vwap_reclaim_v|nk0.8|vm0.8|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:vwap_reclaim+above_vwap+vwap_reclaim_v|nk0.8|vm1.2|mid_1030_1300,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,9.5
LONG:vwap_reclaim+adi_up|nk0.8|vm1.2|mid_1030_1300,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,10.0
LONG:vwap_reclaim+strong_close|nk0.8|vm1.2|mid_1030_1300,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,10.0
LONG:adi_up+vwap_reclaim_v|nk0.8|vm0.8|mid_1030_1300,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,10.0
LONG:adi_up+vwap_reclaim_v|nk0.8|vm1.2|mid_1030_1300,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,10.0
LONG:strong_close+vwap_reclaim_v|nk0.8|vm0.8|mid_1030_1300,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,10.0
