config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:below_vwap+below_pivot+macd_x_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:adi_dn+below_pivot+macd_x_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:below_pivot+macd_x_dn+cvd_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:below_vwap+adi_dn+below_pivot+macd_x_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:below_vwap+below_pivot+macd_x_dn+cvd_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:adi_dn+below_pivot+macd_x_dn+cvd_dn|nk0.8|vm1.2|pm_1130_1400,13,0.22,11,1,1,84.6,91.7,11.73,3.22,0.3,19.2
SHORT:adi_dn+below_pivot+rsi_thrust_dn|nk0.0|vm0.8|pm_1130_1400,10,0.17,9,1,0,90.0,90.0,9.0,2.4,0.3,26.0
SHORT:below_pivot+macd_x_dn+weak_close|nk0.8|vm1.2|pm_1130_1400,10,0.17,8,1,1,80.0,88.9,8.73,2.32,0.3,21.5
SHORT:below_vwap+below_pivot+macd_x_dn+weak_close|nk0.8|vm1.2|pm_1130_1400,10,0.17,8,1,1,80.0,88.9,8.73,2.32,0.3,21.5
SHORT:adi_dn+below_pivot+macd_x_dn+weak_close|nk0.8|vm1.2|pm_1130_1400,10,0.17,8,1,1,80.0,88.9,8.73,2.32,0.3,21.5
