time,date,dir,result,pnl,hold
2026-04-20 09:20:00-05:00,2026-04-20,LONG,stop,-0.3,6.0
2026-04-27 09:35:00-05:00,2026-04-27,LONG,target,0.3,3.0
2026-05-18 09:00:00-05:00,2026-05-18,LONG,target,0.3,1.0
2026-05-26 09:00:00-05:00,2026-05-26,LONG,target,0.3,2.0
2026-05-26 09:10:00-05:00,2026-05-26,LONG,stop,-0.3,1.0
2026-05-28 11:10:00-05:00,2026-05-28,LONG,target,0.3,2.0
2026-05-28 11:15:00-05:00,2026-05-28,LONG,target,0.3,6.0
2026-05-28 11:30:00-05:00,2026-05-28,LONG,target,0.3,2.0
2026-06-09 10:35:00-05:00,2026-06-09,LONG,target,0.3,1.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,stop,-0.3,1.0
2026-06-11 12:35:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-17 09:10:00-05:00,2026-06-17,LONG,target,0.3,2.0
2026-06-17 09:15:00-05:00,2026-06-17,LONG,target,0.3,1.0
2026-06-24 09:20:00-05:00,2026-06-24,LONG,target,0.3,2.0
2026-06-29 09:20:00-05:00,2026-06-29,LONG,target,0.3,1.0
2026-06-29 12:00:00-05:00,2026-06-29,LONG,target,0.3,2.0
2026-06-29 12:05:00-05:00,2026-06-29,LONG,target,0.3,5.0
2026-07-01 09:45:00-05:00,2026-07-01,LONG,target,0.3,1.0
2026-07-07 11:20:00-05:00,2026-07-07,LONG,target,0.3,1.0
2026-07-09 09:20:00-05:00,2026-07-09,LONG,target,0.3,3.0
2026-07-13 09:55:00-05:00,2026-07-13,LONG,target,0.3,6.0
2026-04-21 10:55:00-05:00,2026-04-21,SHORT,target,0.3,5.0
2026-04-21 12:05:00-05:00,2026-04-21,SHORT,target,0.3,1.0
2026-04-23 12:00:00-05:00,2026-04-23,SHORT,target,0.3,1.0
2026-04-27 09:15:00-05:00,2026-04-27,SHORT,target,0.3,2.0
2026-04-29 11:15:00-05:00,2026-04-29,SHORT,target,0.3,3.0
2026-04-29 13:00:00-05:00,2026-04-29,SHORT,target,0.3,1.0
2026-05-01 13:00:00-05:00,2026-05-01,SHORT,target,0.3,7.0
2026-05-01 13:10:00-05:00,2026-05-01,SHORT,target,0.3,6.0
2026-05-05 13:50:00-05:00,2026-05-05,SHORT,scratch,0.21882578920165396,8.0
2026-05-11 13:55:00-05:00,2026-05-11,SHORT,target,0.3,5.0
2026-05-12 10:20:00-05:00,2026-05-12,SHORT,stop,-0.3,2.0
2026-05-15 13:25:00-05:00,2026-05-15,SHORT,target,0.3,3.0
2026-05-15 13:40:00-05:00,2026-05-15,SHORT,target,0.3,5.0
2026-05-19 12:45:00-05:00,2026-05-19,SHORT,target,0.3,1.0
2026-05-21 09:15:00-05:00,2026-05-21,SHORT,target,0.3,1.0
2026-05-21 13:10:00-05:00,2026-05-21,SHORT,target,0.3,7.0
2026-05-22 11:35:00-05:00,2026-05-22,SHORT,stop,-0.3,5.0
2026-05-22 12:45:00-05:00,2026-05-22,SHORT,target,0.3,1.0
2026-05-26 10:05:00-05:00,2026-05-26,SHORT,target,0.3,7.0
2026-05-26 12:35:00-05:00,2026-05-26,SHORT,stop,-0.3,2.0
2026-06-05 13:10:00-05:00,2026-06-05,SHORT,target,0.3,2.0
2026-06-11 09:55:00-05:00,2026-06-11,SHORT,target,0.3,1.0
2026-06-11 11:50:00-05:00,2026-06-11,SHORT,target,0.3,2.0
2026-06-12 13:15:00-05:00,2026-06-12,SHORT,stop,-0.3,3.0
2026-06-16 13:35:00-05:00,2026-06-16,SHORT,target,0.3,8.0
2026-06-16 13:45:00-05:00,2026-06-16,SHORT,target,0.3,6.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,target,0.3,1.0
2026-06-17 13:45:00-05:00,2026-06-17,SHORT,target,0.3,2.0
2026-06-17 13:55:00-05:00,2026-06-17,SHORT,target,0.3,4.0
2026-06-22 13:50:00-05:00,2026-06-22,SHORT,target,0.3,7.0
2026-06-24 09:05:00-05:00,2026-06-24,SHORT,target,0.3,3.0
2026-06-24 12:05:00-05:00,2026-06-24,SHORT,target,0.3,3.0
2026-06-25 08:45:00-05:00,2026-06-25,SHORT,target,0.3,1.0
2026-06-25 13:50:00-05:00,2026-06-25,SHORT,target,0.3,5.0
2026-06-25 13:55:00-05:00,2026-06-25,SHORT,target,0.3,4.0
2026-06-26 09:40:00-05:00,2026-06-26,SHORT,stop,-0.3,1.0
2026-06-29 09:10:00-05:00,2026-06-29,SHORT,target,0.3,1.0
2026-07-01 13:10:00-05:00,2026-07-01,SHORT,stop,-0.3,10.0
2026-07-13 09:40:00-05:00,2026-07-13,SHORT,target,0.3,3.0
