config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:below_pivot+orb_break_dn|nk0.0|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn|nk0.5|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn|nk0.8|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.0|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.0|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.5|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.5|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.8|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:below_pivot+orb_break_dn_v|nk0.8|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:orb_break_dn+orb_break_dn_v|nk0.0|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:orb_break_dn+orb_break_dn_v|nk0.0|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:orb_break_dn+orb_break_dn_v|nk0.5|vm0.8|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
SHORT:orb_break_dn+orb_break_dn_v|nk0.5|vm1.2|pm_1130_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,16.7
