time,date,dir,result,pnl,hold
2026-04-23 09:20:00-05:00,2026-04-23,LONG,target,0.3,7.0
2026-04-23 09:30:00-05:00,2026-04-23,LONG,target,0.3,8.0
2026-04-23 12:30:00-05:00,2026-04-23,LONG,stop,-0.3,1.0
2026-04-23 13:00:00-05:00,2026-04-23,LONG,scratch,-0.05687000435925227,18.0
2026-04-27 09:10:00-05:00,2026-04-27,LONG,scratch,0.1538769496343949,48.0
2026-04-27 09:30:00-05:00,2026-04-27,LONG,target,0.3,37.0
2026-04-27 09:35:00-05:00,2026-04-27,LONG,scratch,0.15846002244213211,48.0
2026-04-27 10:30:00-05:00,2026-04-27,LONG,target,0.3,24.0
2026-04-27 12:30:00-05:00,2026-04-27,LONG,scratch,-0.03162695741776233,24.0
2026-04-29 09:15:00-05:00,2026-04-29,LONG,target,0.3,4.0
2026-04-29 13:45:00-05:00,2026-04-29,LONG,target,0.3,6.0
2026-04-30 09:15:00-05:00,2026-04-30,LONG,target,0.3,6.0
2026-05-04 11:15:00-05:00,2026-05-04,LONG,target,0.3,13.0
2026-05-05 09:20:00-05:00,2026-05-05,LONG,scratch,0.2276637855191274,48.0
2026-05-07 08:50:00-05:00,2026-05-07,LONG,target,0.3,6.0
2026-05-11 09:30:00-05:00,2026-05-11,LONG,target,0.3,4.0
2026-05-11 09:35:00-05:00,2026-05-11,LONG,target,0.3,15.0
2026-05-13 09:20:00-05:00,2026-05-13,LONG,target,0.3,8.0
2026-05-14 09:15:00-05:00,2026-05-14,LONG,target,0.3,7.0
2026-05-15 11:55:00-05:00,2026-05-15,LONG,target,0.3,6.0
2026-05-19 10:50:00-05:00,2026-05-19,LONG,target,0.3,7.0
2026-05-19 11:00:00-05:00,2026-05-19,LONG,target,0.3,7.0
2026-05-19 11:15:00-05:00,2026-05-19,LONG,target,0.3,3.0
2026-05-20 09:15:00-05:00,2026-05-20,LONG,target,0.3,3.0
2026-05-21 10:10:00-05:00,2026-05-21,LONG,target,0.3,24.0
2026-05-21 10:15:00-05:00,2026-05-21,LONG,target,0.3,23.0
2026-05-22 09:25:00-05:00,2026-05-22,LONG,target,0.3,6.0
2026-05-22 12:25:00-05:00,2026-05-22,LONG,stop,-0.3,13.0
2026-05-27 10:20:00-05:00,2026-05-27,LONG,target,0.3,12.0
2026-06-01 09:20:00-05:00,2026-06-01,LONG,target,0.3,14.0
2026-06-04 09:20:00-05:00,2026-06-04,LONG,target,0.3,9.0
