config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:adi_up+s1_bounce|nk0.0|vm0.8|mid_1030_1300,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,40.0
LONG:adi_up+s1_bounce|nk0.5|vm0.8|mid_1030_1300,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,40.0
LONG:adi_up+s1_bounce+strong_close|nk0.8|vm1.2|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,44.3
LONG:above_vwap+s1_bounce|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:above_vwap+s1_bounce|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:delta_surge+s1_bounce|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:delta_surge+s1_bounce|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:above_vwap+adi_up+s1_bounce|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:above_vwap+adi_up+s1_bounce|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:above_vwap+s1_bounce+strong_close|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:above_vwap+s1_bounce+strong_close|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:adi_up+delta_surge+s1_bounce|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:adi_up+delta_surge+s1_bounce|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:adi_up+s1_bounce+strong_close|nk0.0|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:adi_up+s1_bounce+strong_close|nk0.5|vm0.8|mid_1030_1300,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,40.8
LONG:adi_up+s1_bounce+strong_close|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,46.7
LONG:above_vwap+adi_up+s1_bounce+strong_close|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:above_vwap+adi_up+s1_bounce+strong_close|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,29.2
LONG:adi_up+s1_bounce+strong_close|nk0.0|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,39.4
LONG:adi_up+s1_bounce+strong_close|nk0.5|vm1.2|full_0845_1400,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,39.4
LONG:vwap_reclaim+adi_up+macd_x_up+strong_close|nk0.0|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,48.9
LONG:vwap_reclaim+adi_up+macd_x_up+strong_close|nk0.5|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,48.9
LONG:adi_up+above_pivot+strong_close+vwap_lo_bounce|nk0.0|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,57.8
LONG:adi_up+above_pivot+strong_close+vwap_lo_bounce|nk0.5|vm0.8|am_0845_1130,9,0.15,8,1,0,88.9,88.9,8.0,2.1,0.3,57.8
LONG:adi_up+s1_bounce|nk0.8|vm1.2|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,50.0
LONG:delta_surge+s1_bounce|nk0.0|vm0.8|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:delta_surge+s1_bounce|nk0.0|vm1.2|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:delta_surge+s1_bounce|nk0.5|vm0.8|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:delta_surge+s1_bounce|nk0.5|vm1.2|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:adi_up+delta_surge+s1_bounce|nk0.0|vm0.8|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:adi_up+delta_surge+s1_bounce|nk0.0|vm1.2|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:adi_up+delta_surge+s1_bounce|nk0.5|vm0.8|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:adi_up+delta_surge+s1_bounce|nk0.5|vm1.2|full_0845_1400,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,36.2
LONG:vwap_reclaim+adi_up+macd_x_up+strong_close|nk0.8|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,40.6
LONG:vwap_reclaim+adi_up+macd_x_up_neg+strong_close|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:vwap_reclaim+adi_up+macd_x_up_neg+strong_close|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:vwap_reclaim+macd_x_up+strong_close+cvd_up|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:vwap_reclaim+macd_x_up+strong_close+cvd_up|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:vwap_reclaim+macd_x_up_neg+strong_close+cvd_up|nk0.0|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:vwap_reclaim+macd_x_up_neg+strong_close+cvd_up|nk0.5|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,51.2
LONG:adi_up+above_pivot+strong_close+vwap_lo_bounce|nk0.8|vm0.8|am_0845_1130,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,50.0
SHORT:adi_dn+r1_reject|nk0.0|vm0.8|am_0845_1130,21,0.35,18,3,0,85.7,85.7,6.0,4.5,0.3,32.4
