time,date,dir,result,pnl,hold
2026-04-21 08:50:00-05:00,2026-04-21,LONG,target,0.3,3.0
2026-04-21 10:05:00-05:00,2026-04-21,LONG,target,0.3,2.0
2026-04-21 12:35:00-05:00,2026-04-21,LONG,target,0.3,19.0
2026-04-21 13:50:00-05:00,2026-04-21,LONG,scratch,0.1994772118199379,8.0
2026-04-22 09:10:00-05:00,2026-04-22,LONG,target,0.3,2.0
2026-04-22 09:20:00-05:00,2026-04-22,LONG,target,0.3,4.0
2026-04-23 09:20:00-05:00,2026-04-23,LONG,target,0.3,7.0
2026-04-23 12:50:00-05:00,2026-04-23,LONG,target,0.3,1.0
2026-04-29 09:15:00-05:00,2026-04-29,LONG,target,0.3,2.0
2026-04-29 12:10:00-05:00,2026-04-29,LONG,stop,-0.3,12.0
2026-04-29 13:15:00-05:00,2026-04-29,LONG,target,0.3,7.0
2026-04-29 13:35:00-05:00,2026-04-29,LONG,target,0.3,4.0
2026-04-29 13:45:00-05:00,2026-04-29,LONG,target,0.3,2.0
2026-04-29 13:55:00-05:00,2026-04-29,LONG,target,0.3,4.0
2026-04-30 09:40:00-05:00,2026-04-30,LONG,target,0.3,1.0
2026-04-30 09:50:00-05:00,2026-04-30,LONG,target,0.3,2.0
2026-04-30 10:05:00-05:00,2026-04-30,LONG,target,0.3,5.0
2026-04-30 12:30:00-05:00,2026-04-30,LONG,target,0.3,5.0
2026-05-01 08:55:00-05:00,2026-05-01,LONG,target,0.3,1.0
2026-05-01 09:35:00-05:00,2026-05-01,LONG,target,0.3,8.0
2026-05-01 13:50:00-05:00,2026-05-01,LONG,target,0.3,5.0
2026-05-04 08:55:00-05:00,2026-05-04,LONG,stop,-0.3,4.0
2026-05-06 09:30:00-05:00,2026-05-06,LONG,target,0.3,3.0
2026-05-07 09:05:00-05:00,2026-05-07,LONG,target,0.3,2.0
2026-05-07 09:15:00-05:00,2026-05-07,LONG,target,0.3,1.0
2026-05-07 10:30:00-05:00,2026-05-07,LONG,stop,-0.3,3.0
2026-05-07 13:55:00-05:00,2026-05-07,LONG,target,0.3,3.0
2026-05-13 09:20:00-05:00,2026-05-13,LONG,target,0.3,3.0
2026-05-13 09:25:00-05:00,2026-05-13,LONG,target,0.3,2.0
2026-05-14 09:15:00-05:00,2026-05-14,LONG,target,0.3,4.0
2026-05-14 12:45:00-05:00,2026-05-14,LONG,stop,-0.3,3.0
2026-05-14 12:50:00-05:00,2026-05-14,LONG,stop,-0.3,2.0
2026-05-15 09:10:00-05:00,2026-05-15,LONG,target,0.3,1.0
2026-05-15 10:20:00-05:00,2026-05-15,LONG,target,0.3,2.0
2026-05-20 08:55:00-05:00,2026-05-20,LONG,target,0.3,2.0
2026-05-21 08:50:00-05:00,2026-05-21,LONG,target,0.3,2.0
2026-05-21 10:45:00-05:00,2026-05-21,LONG,stop,-0.3,7.0
2026-05-21 12:15:00-05:00,2026-05-21,LONG,target,0.3,5.0
2026-05-22 11:25:00-05:00,2026-05-22,LONG,target,0.3,8.0
2026-05-26 10:55:00-05:00,2026-05-26,LONG,target,0.3,1.0
2026-05-29 09:50:00-05:00,2026-05-29,LONG,target,0.3,1.0
2026-05-29 13:15:00-05:00,2026-05-29,LONG,scratch,0.18846606801493435,15.0
2026-06-01 09:15:00-05:00,2026-06-01,LONG,target,0.3,1.0
2026-06-03 09:15:00-05:00,2026-06-03,LONG,target,0.3,2.0
2026-06-04 09:25:00-05:00,2026-06-04,LONG,stop,-0.3,3.0
2026-06-05 09:15:00-05:00,2026-06-05,LONG,stop,-0.3,1.0
2026-06-05 11:55:00-05:00,2026-06-05,LONG,stop,-0.3,1.0
2026-06-05 12:20:00-05:00,2026-06-05,LONG,target,0.3,3.0
2026-06-08 09:25:00-05:00,2026-06-08,LONG,target,0.3,2.0
2026-06-09 09:20:00-05:00,2026-06-09,LONG,stop,-0.3,1.0
2026-06-09 11:55:00-05:00,2026-06-09,LONG,target,0.3,1.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-15 09:20:00-05:00,2026-06-15,LONG,target,0.3,1.0
2026-06-15 10:00:00-05:00,2026-06-15,LONG,target,0.3,10.0
2026-06-17 09:15:00-05:00,2026-06-17,LONG,target,0.3,1.0
