config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:above_vwap+above_pivot+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,24.0
LONG:above_vwap+above_pivot+macd_x_up+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,10,0.17,10,0,0,100.0,100.0,inf,3.0,0.0,24.0
LONG:above_pivot+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,21.7
LONG:above_pivot+macd_x_up+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,21.7
LONG:above_pivot+macd_x_up_neg+cvd_up|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_vwap+above_pivot+macd_x_up_neg+strong_close|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_vwap+above_pivot+macd_x_up_neg+cvd_up|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:adi_up+above_pivot+macd_x_up_neg+cvd_up|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_pivot+macd_x_up+macd_x_up_neg+cvd_up|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_pivot+macd_x_up_neg+strong_close+cvd_up|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,24.4
LONG:above_vwap+above_pivot+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,22.5
LONG:adi_up+above_pivot+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,21.9
LONG:above_pivot+macd_x_up_neg+strong_close|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,21.9
LONG:above_vwap+above_pivot+macd_x_up+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,22.5
LONG:adi_up+above_pivot+macd_x_up+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,21.9
LONG:adi_up+above_pivot+macd_x_up_neg+strong_close|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,21.9
LONG:above_pivot+macd_x_up+macd_x_up_neg+strong_close|nk0.8|vm1.2|full_0845_1400,8,0.13,8,0,0,100.0,100.0,inf,2.4,0.0,21.9
LONG:above_pivot+macd_x_up_neg|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:above_pivot+macd_x_up_neg|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:macd_x_up_neg+hist_turn_up|nk0.0|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,15.7
LONG:macd_x_up_neg+hist_turn_up|nk0.5|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,15.7
LONG:vwap_reclaim+above_pivot+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,28.6
LONG:above_vwap+above_pivot+macd_x_up_neg|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_vwap+above_pivot+macd_x_up_neg|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:adi_up+above_pivot+macd_x_up_neg|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:adi_up+above_pivot+macd_x_up_neg|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:above_pivot+macd_x_up+macd_x_up_neg|nk0.0|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:above_pivot+macd_x_up+macd_x_up_neg|nk0.5|vm1.2|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,12.1
LONG:above_pivot+macd_x_up_neg+cvd_up|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_pivot+macd_x_up_neg+cvd_up|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_pivot+macd_x_up_neg+cvd_up|nk0.8|vm1.2|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,22.9
LONG:macd_x_up+macd_x_up_neg+hist_turn_up|nk0.0|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,15.7
LONG:macd_x_up+macd_x_up_neg+hist_turn_up|nk0.5|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,15.7
LONG:vwap_reclaim+above_vwap+above_pivot+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,28.6
LONG:vwap_reclaim+above_pivot+macd_x_up+macd_x_up_neg|nk0.8|vm0.8|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,28.6
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_vwap+adi_up+above_pivot+macd_x_up_neg|nk0.8|vm1.2|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,22.9
LONG:above_vwap+above_pivot+macd_x_up+macd_x_up_neg|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_vwap+above_pivot+macd_x_up+macd_x_up_neg|nk0.5|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
LONG:above_vwap+above_pivot+macd_x_up_neg+strong_close|nk0.8|vm1.2|full_0845_1400,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,22.9
LONG:above_vwap+above_pivot+macd_x_up_neg+cvd_up|nk0.0|vm0.8|am_0845_1130,7,0.12,7,0,0,100.0,100.0,inf,2.1,0.0,17.1
