time,date,dir,result,pnl,hold
2026-04-23 09:05:00-05:00,2026-04-23,LONG,target,0.3,17.0
2026-04-24 08:45:00-05:00,2026-04-24,LONG,target,0.3,23.0
2026-04-27 08:50:00-05:00,2026-04-27,LONG,scratch,0.09672741414538924,48.0
2026-04-30 09:15:00-05:00,2026-04-30,LONG,target,0.3,7.0
2026-05-06 08:50:00-05:00,2026-05-06,LONG,target,0.3,11.0
2026-05-07 12:55:00-05:00,2026-05-07,LONG,scratch,-0.11905778656149618,19.0
2026-05-18 08:45:00-05:00,2026-05-18,LONG,target,0.3,2.0
2026-05-19 08:45:00-05:00,2026-05-19,LONG,stop,-0.3,6.0
2026-05-20 09:15:00-05:00,2026-05-20,LONG,target,0.3,12.0
2026-05-27 08:50:00-05:00,2026-05-27,LONG,scratch,-0.03910453282650499,48.0
2026-06-11 08:45:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-11 12:05:00-05:00,2026-06-11,LONG,target,0.3,4.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-12 11:10:00-05:00,2026-06-12,LONG,scratch,-0.06896971805100326,40.0
2026-06-15 08:45:00-05:00,2026-06-15,LONG,target,0.3,25.0
2026-06-24 08:45:00-05:00,2026-06-24,LONG,target,0.3,12.0
2026-06-25 09:00:00-05:00,2026-06-25,LONG,target,0.3,2.0
2026-06-25 13:05:00-05:00,2026-06-25,LONG,target,0.3,4.0
2026-04-23 12:00:00-05:00,2026-04-23,SHORT,target,0.3,3.0
2026-04-29 13:00:00-05:00,2026-04-29,SHORT,scratch,-0.13095182313436016,18.0
2026-05-29 09:35:00-05:00,2026-05-29,SHORT,scratch,-0.13337124597178215,48.0
2026-06-08 12:00:00-05:00,2026-06-08,SHORT,target,0.3,28.0
2026-06-08 13:10:00-05:00,2026-06-08,SHORT,target,0.3,13.0
2026-06-08 13:35:00-05:00,2026-06-08,SHORT,target,0.3,9.0
2026-06-09 09:10:00-05:00,2026-06-09,SHORT,target,0.3,6.0
2026-06-10 13:05:00-05:00,2026-06-10,SHORT,target,0.3,6.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,stop,-0.3,3.0
2026-06-25 13:30:00-05:00,2026-06-25,SHORT,target,0.3,12.0
2026-06-29 09:05:00-05:00,2026-06-29,SHORT,target,0.3,1.0
2026-07-07 13:05:00-05:00,2026-07-07,SHORT,target,0.3,12.0
2026-07-15 08:45:00-05:00,2026-07-15,SHORT,target,0.3,29.0
2026-07-15 09:20:00-05:00,2026-07-15,SHORT,target,0.3,21.0
2026-07-15 09:35:00-05:00,2026-07-15,SHORT,target,0.3,19.0
