config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up|nk0.0|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up|nk0.5|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up|nk0.8|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.0|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.0|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.5|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.5|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.8|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+adi_up+above_pivot+cvd_up_v|nk0.8|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up|nk0.0|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up|nk0.5|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up|nk0.8|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.0|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.0|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.5|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.5|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.8|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:vwap_reclaim+above_pivot+strong_close+cvd_up_v|nk0.8|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.0|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.0|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.5|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.5|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.8|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up|nk0.8|vm1.2|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
LONG:adi_up+above_pivot+vwap_reclaim_v+cvd_up_v|nk0.0|vm0.8|full_0845_1400,6,0.1,5,0,1,83.3,100.0,21.75,1.43,0.07,93.3
