config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:below_pivot+rvol_thrust_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:below_pivot+below_vwap_v+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:below_vwap+below_pivot+rvol_thrust_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:below_vwap+below_pivot+below_vwap_v+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:adi_dn+below_pivot+rvol_thrust_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:adi_dn+below_pivot+below_vwap_v+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:delta_dump+below_pivot+rvol_thrust_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:delta_dump+below_pivot+below_vwap_v+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:delta_dump+below_pivot+cvd_dn_v+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
SHORT:below_pivot+weak_close+rvol_thrust_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,12,0.2,10,1,1,83.3,90.9,10.67,2.9,0.3,85.8
