time,date,dir,result,pnl,hold
2026-04-22 12:00:00-05:00,2026-04-22,LONG,scratch,0.08962236643988136,30.0
2026-04-27 11:05:00-05:00,2026-04-27,LONG,scratch,0.19404962375306956,41.0
2026-04-30 09:15:00-05:00,2026-04-30,LONG,target,0.3,7.0
2026-05-11 09:15:00-05:00,2026-05-11,LONG,scratch,0.11224334826719844,48.0
2026-05-13 10:40:00-05:00,2026-05-13,LONG,target,0.3,16.0
2026-05-13 11:20:00-05:00,2026-05-13,LONG,target,0.3,24.0
2026-05-14 08:45:00-05:00,2026-05-14,LONG,target,0.3,17.0
2026-05-20 09:15:00-05:00,2026-05-20,LONG,target,0.3,12.0
2026-05-21 10:10:00-05:00,2026-05-21,LONG,target,0.3,25.0
2026-05-21 11:55:00-05:00,2026-05-21,LONG,target,0.3,3.0
2026-05-21 12:15:00-05:00,2026-05-21,LONG,target,0.3,7.0
2026-05-21 13:55:00-05:00,2026-05-21,LONG,scratch,0.18083057529985302,7.0
2026-06-01 10:30:00-05:00,2026-06-01,LONG,target,0.3,26.0
2026-06-01 11:10:00-05:00,2026-06-01,LONG,target,0.3,18.0
2026-06-02 11:15:00-05:00,2026-06-02,LONG,scratch,-0.013162649607615628,39.0
2026-06-11 12:05:00-05:00,2026-06-11,LONG,target,0.3,4.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-12 09:50:00-05:00,2026-06-12,LONG,target,0.3,6.0
2026-06-12 11:10:00-05:00,2026-06-12,LONG,scratch,-0.06747364887148016,40.0
2026-06-15 09:25:00-05:00,2026-06-15,LONG,target,0.3,16.0
2026-06-17 12:55:00-05:00,2026-06-17,LONG,stop,-0.3,1.0
2026-06-24 09:20:00-05:00,2026-06-24,LONG,target,0.3,5.0
2026-06-25 10:15:00-05:00,2026-06-25,LONG,target,0.3,11.0
2026-06-25 11:45:00-05:00,2026-06-25,LONG,target,0.3,18.0
2026-06-25 12:20:00-05:00,2026-06-25,LONG,target,0.3,11.0
2026-06-25 12:50:00-05:00,2026-06-25,LONG,target,0.3,5.0
2026-06-25 12:55:00-05:00,2026-06-25,LONG,target,0.3,6.0
2026-06-25 13:05:00-05:00,2026-06-25,LONG,target,0.3,4.0
2026-06-26 09:00:00-05:00,2026-06-26,LONG,target,0.3,17.0
2026-07-01 09:10:00-05:00,2026-07-01,LONG,target,0.3,14.0
2026-07-01 13:15:00-05:00,2026-07-01,LONG,scratch,-0.009360869864958425,15.0
2026-07-10 09:35:00-05:00,2026-07-10,LONG,target,0.3,27.0
2026-07-10 09:40:00-05:00,2026-07-10,LONG,target,0.3,35.0
2026-07-10 10:40:00-05:00,2026-07-10,LONG,target,0.3,23.0
2026-07-14 09:15:00-05:00,2026-07-14,LONG,target,0.3,3.0
2026-07-15 11:00:00-05:00,2026-07-15,LONG,target,0.3,22.0
2026-07-15 12:05:00-05:00,2026-07-15,LONG,target,0.3,9.0
2026-07-15 12:15:00-05:00,2026-07-15,LONG,target,0.3,11.0
2026-04-21 09:40:00-05:00,2026-04-21,SHORT,target,0.3,3.0
2026-04-21 09:45:00-05:00,2026-04-21,SHORT,target,0.3,3.0
2026-04-21 09:55:00-05:00,2026-04-21,SHORT,target,0.3,26.0
2026-04-21 10:00:00-05:00,2026-04-21,SHORT,target,0.3,26.0
2026-04-23 09:00:00-05:00,2026-04-23,SHORT,stop,-0.3,15.0
2026-04-23 12:05:00-05:00,2026-04-23,SHORT,target,0.3,6.0
2026-04-28 09:35:00-05:00,2026-04-28,SHORT,scratch,-0.13871469804196357,48.0
2026-04-29 10:05:00-05:00,2026-04-29,SHORT,target,0.3,37.0
2026-04-29 10:50:00-05:00,2026-04-29,SHORT,scratch,-0.11415651786750361,44.0
2026-04-29 13:00:00-05:00,2026-04-29,SHORT,scratch,-0.1289709586927295,18.0
2026-05-01 09:35:00-05:00,2026-05-01,SHORT,scratch,0.20682098897821616,48.0
2026-05-04 10:15:00-05:00,2026-05-04,SHORT,target,0.3,10.0
2026-05-04 10:20:00-05:00,2026-05-04,SHORT,target,0.3,9.0
2026-05-07 10:35:00-05:00,2026-05-07,SHORT,target,0.3,6.0
2026-05-07 10:55:00-05:00,2026-05-07,SHORT,target,0.3,4.0
2026-05-11 10:40:00-05:00,2026-05-11,SHORT,scratch,0.16895088594445773,46.0
2026-05-12 09:30:00-05:00,2026-05-12,SHORT,target,0.3,28.0
2026-05-18 09:30:00-05:00,2026-05-18,SHORT,target,0.3,23.0
2026-05-18 10:00:00-05:00,2026-05-18,SHORT,target,0.3,17.0
2026-05-19 09:05:00-05:00,2026-05-19,SHORT,stop,-0.3,32.0
2026-05-26 10:00:00-05:00,2026-05-26,SHORT,target,0.3,10.0
2026-05-26 10:35:00-05:00,2026-05-26,SHORT,scratch,-0.014668037962705579,47.0
2026-06-03 08:45:00-05:00,2026-06-03,SHORT,scratch,-0.01589107805687842,48.0
2026-06-03 09:15:00-05:00,2026-06-03,SHORT,target,0.3,26.0
2026-06-05 08:45:00-05:00,2026-06-05,SHORT,target,0.3,22.0
2026-06-05 10:40:00-05:00,2026-06-05,SHORT,target,0.3,10.0
2026-06-05 11:05:00-05:00,2026-06-05,SHORT,target,0.3,7.0
2026-06-08 12:00:00-05:00,2026-06-08,SHORT,target,0.3,28.0
2026-06-08 13:35:00-05:00,2026-06-08,SHORT,target,0.3,9.0
2026-06-09 09:45:00-05:00,2026-06-09,SHORT,stop,-0.3,2.0
2026-06-09 10:25:00-05:00,2026-06-09,SHORT,target,0.3,8.0
2026-06-10 09:55:00-05:00,2026-06-10,SHORT,target,0.3,3.0
2026-06-10 10:45:00-05:00,2026-06-10,SHORT,stop,-0.3,3.0
2026-06-10 13:05:00-05:00,2026-06-10,SHORT,target,0.3,6.0
2026-06-16 09:15:00-05:00,2026-06-16,SHORT,target,0.3,18.0
2026-06-16 09:20:00-05:00,2026-06-16,SHORT,scratch,0.20171181275208408,48.0
2026-06-16 10:25:00-05:00,2026-06-16,SHORT,target,0.3,46.0
2026-06-17 09:35:00-05:00,2026-06-17,SHORT,target,0.3,41.0
2026-06-17 09:45:00-05:00,2026-06-17,SHORT,target,0.3,39.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,stop,-0.3,3.0
2026-06-22 09:20:00-05:00,2026-06-22,SHORT,target,0.3,2.0
2026-06-22 09:25:00-05:00,2026-06-22,SHORT,target,0.3,5.0
2026-06-22 09:30:00-05:00,2026-06-22,SHORT,target,0.3,5.0
2026-06-23 09:45:00-05:00,2026-06-23,SHORT,target,0.3,7.0
2026-06-24 12:15:00-05:00,2026-06-24,SHORT,target,0.3,3.0
2026-06-25 08:45:00-05:00,2026-06-25,SHORT,target,0.3,1.0
2026-06-25 13:30:00-05:00,2026-06-25,SHORT,target,0.3,12.0
2026-07-02 09:25:00-05:00,2026-07-02,SHORT,target,0.3,8.0
2026-07-08 08:45:00-05:00,2026-07-08,SHORT,target,0.3,12.0
2026-07-09 09:15:00-05:00,2026-07-09,SHORT,stop,-0.3,8.0
2026-07-13 09:15:00-05:00,2026-07-13,SHORT,target,0.3,27.0
2026-07-13 09:30:00-05:00,2026-07-13,SHORT,target,0.3,23.0
2026-07-15 09:20:00-05:00,2026-07-15,SHORT,target,0.3,21.0
2026-07-15 11:20:00-05:00,2026-07-15,SHORT,stop,-0.3,13.0
