config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG:poc_reject_up+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,11,0.18,11,0,0,100.0,100.0,inf,3.3,0.0,54.5
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+adi_up+strong_close+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,9,0.15,9,0,0,100.0,100.0,inf,2.7,0.0,58.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+vwap_lo_bounce|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+strong_close+vwap_lo_bounce|nk0.8|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,73.3
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+adi_up+delta_surge+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.0|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.5|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.8|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
LONG:poc_reject_up+delta_surge+strong_close+vwap_lo_bounce|nk0.8|vm1.2|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,50.8
SHORT:macd_x_dn+weak_close+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:macd_x_dn+weak_close+mom_ignite_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:macd_x_dn+weak_close+mom_ignite_dn|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:below_vwap+macd_x_dn+weak_close+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:below_vwap+macd_x_dn+weak_close+mom_ignite_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:below_vwap+macd_x_dn+weak_close+mom_ignite_dn|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:adi_dn+macd_x_dn+weak_close+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:adi_dn+macd_x_dn+weak_close+mom_ignite_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:adi_dn+macd_x_dn+weak_close+mom_ignite_dn|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:macd_x_dn+weak_close+cvd_dn+mom_ignite_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:macd_x_dn+weak_close+cvd_dn+mom_ignite_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
SHORT:macd_x_dn+weak_close+cvd_dn+mom_ignite_dn|nk0.8|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,84.2
LONG:poc_reject_up+adi_up|nk0.0|vm1.2|mid_1030_1300,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,55.6
LONG:poc_reject_up+adi_up|nk0.5|vm1.2|mid_1030_1300,8,0.13,7,1,0,87.5,87.5,7.0,1.8,0.3,55.6
LONG:poc_reject_up+above_pivot|nk0.8|vm0.8|mid_1030_1300,8,0.13,7,0,1,87.5,100.0,159.54,2.09,0.01,91.9
LONG:poc_reject_up+adi_up|nk0.8|vm1.2|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,57.1
LONG:poc_reject_up+strong_close|nk0.8|vm1.2|mid_1030_1300,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,44.3
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.0|vm0.8|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.0|vm1.2|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.5|vm0.8|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.5|vm1.2|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.8|vm0.8|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:mom_ignite_dn+rsi_thrust_dn|nk0.8|vm1.2|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:below_vwap+mom_ignite_dn+rsi_thrust_dn|nk0.0|vm0.8|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:below_vwap+mom_ignite_dn+rsi_thrust_dn|nk0.0|vm1.2|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:below_vwap+mom_ignite_dn+rsi_thrust_dn|nk0.5|vm0.8|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
SHORT:below_vwap+mom_ignite_dn+rsi_thrust_dn|nk0.5|vm1.2|am_0845_1130,7,0.12,6,1,0,85.7,85.7,6.0,1.5,0.3,67.1
