time,date,dir,result,pnl,hold
2026-04-21 12:00:00-05:00,2026-04-21,LONG,stop,-0.3,1.0
2026-04-21 12:40:00-05:00,2026-04-21,LONG,target,0.3,6.0
2026-04-22 10:30:00-05:00,2026-04-22,LONG,stop,-0.3,15.0
2026-04-24 12:40:00-05:00,2026-04-24,LONG,target,0.3,21.0
2026-04-27 11:10:00-05:00,2026-04-27,LONG,target,0.3,4.0
2026-04-28 13:20:00-05:00,2026-04-28,LONG,target,0.3,4.0
2026-04-29 09:45:00-05:00,2026-04-29,LONG,stop,-0.3,2.0
2026-04-29 11:40:00-05:00,2026-04-29,LONG,target,0.3,8.0
2026-04-29 13:50:00-05:00,2026-04-29,LONG,target,0.3,1.0
2026-04-30 09:10:00-05:00,2026-04-30,LONG,stop,-0.3,1.0
2026-04-30 09:15:00-05:00,2026-04-30,LONG,target,0.3,3.0
2026-04-30 09:25:00-05:00,2026-04-30,LONG,target,0.3,1.0
2026-04-30 09:30:00-05:00,2026-04-30,LONG,target,0.3,1.0
2026-05-06 08:45:00-05:00,2026-05-06,LONG,target,0.3,1.0
2026-05-06 09:00:00-05:00,2026-05-06,LONG,target,0.3,1.0
2026-05-06 10:45:00-05:00,2026-05-06,LONG,target,0.3,6.0
2026-05-08 10:00:00-05:00,2026-05-08,LONG,target,0.3,1.0
2026-05-08 13:15:00-05:00,2026-05-08,LONG,target,0.3,1.0
2026-05-11 09:45:00-05:00,2026-05-11,LONG,target,0.3,1.0
2026-05-11 09:50:00-05:00,2026-05-11,LONG,target,0.3,2.0
2026-05-12 12:10:00-05:00,2026-05-12,LONG,target,0.3,2.0
2026-05-13 09:05:00-05:00,2026-05-13,LONG,target,0.3,1.0
2026-05-13 12:40:00-05:00,2026-05-13,LONG,target,0.3,4.0
2026-05-13 13:00:00-05:00,2026-05-13,LONG,target,0.3,2.0
2026-05-13 13:30:00-05:00,2026-05-13,LONG,stop,-0.3,2.0
2026-05-14 10:30:00-05:00,2026-05-14,LONG,target,0.3,1.0
2026-05-15 12:05:00-05:00,2026-05-15,LONG,target,0.3,1.0
2026-05-15 12:10:00-05:00,2026-05-15,LONG,target,0.3,3.0
2026-05-18 09:15:00-05:00,2026-05-18,LONG,stop,-0.3,1.0
2026-05-19 11:40:00-05:00,2026-05-19,LONG,target,0.3,2.0
2026-05-19 12:45:00-05:00,2026-05-19,LONG,target,0.3,4.0
2026-05-19 12:55:00-05:00,2026-05-19,LONG,target,0.3,4.0
2026-05-19 13:55:00-05:00,2026-05-19,LONG,target,0.3,1.0
2026-05-21 11:30:00-05:00,2026-05-21,LONG,target,0.3,8.0
2026-05-21 12:10:00-05:00,2026-05-21,LONG,target,0.3,1.0
2026-05-21 13:55:00-05:00,2026-05-21,LONG,target,0.3,7.0
2026-05-22 09:30:00-05:00,2026-05-22,LONG,stop,-0.3,1.0
2026-05-22 09:40:00-05:00,2026-05-22,LONG,target,0.3,1.0
2026-05-22 12:25:00-05:00,2026-05-22,LONG,target,0.3,2.0
2026-05-26 09:40:00-05:00,2026-05-26,LONG,target,0.3,1.0
2026-05-26 11:35:00-05:00,2026-05-26,LONG,target,0.3,9.0
2026-05-26 12:45:00-05:00,2026-05-26,LONG,target,0.3,9.0
2026-05-27 09:35:00-05:00,2026-05-27,LONG,target,0.3,1.0
2026-05-27 11:10:00-05:00,2026-05-27,LONG,stop,-0.3,5.0
2026-05-28 09:50:00-05:00,2026-05-28,LONG,target,0.3,2.0
2026-05-29 11:00:00-05:00,2026-05-29,LONG,target,0.3,1.0
2026-05-29 11:05:00-05:00,2026-05-29,LONG,target,0.3,2.0
2026-05-29 11:10:00-05:00,2026-05-29,LONG,target,0.3,2.0
2026-05-29 11:50:00-05:00,2026-05-29,LONG,target,0.3,2.0
2026-05-29 11:55:00-05:00,2026-05-29,LONG,target,0.3,5.0
2026-06-02 08:55:00-05:00,2026-06-02,LONG,stop,-0.3,2.0
2026-06-02 11:55:00-05:00,2026-06-02,LONG,stop,-0.3,7.0
2026-06-03 12:35:00-05:00,2026-06-03,LONG,target,0.3,4.0
2026-06-03 13:00:00-05:00,2026-06-03,LONG,target,0.3,6.0
2026-06-03 13:30:00-05:00,2026-06-03,LONG,stop,-0.3,2.0
2026-06-08 11:15:00-05:00,2026-06-08,LONG,stop,-0.3,4.0
2026-06-10 10:50:00-05:00,2026-06-10,LONG,target,0.3,1.0
2026-06-11 08:55:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-11 10:55:00-05:00,2026-06-11,LONG,target,0.3,3.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-12 11:25:00-05:00,2026-06-12,LONG,target,0.3,1.0
2026-06-12 12:00:00-05:00,2026-06-12,LONG,target,0.3,1.0
2026-06-15 12:30:00-05:00,2026-06-15,LONG,stop,-0.3,15.0
2026-06-16 08:45:00-05:00,2026-06-16,LONG,target,0.3,1.0
2026-06-16 09:05:00-05:00,2026-06-16,LONG,stop,-0.3,1.0
2026-06-17 09:10:00-05:00,2026-06-17,LONG,target,0.3,2.0
2026-06-17 09:20:00-05:00,2026-06-17,LONG,stop,-0.3,2.0
2026-06-17 10:40:00-05:00,2026-06-17,LONG,stop,-0.3,2.0
2026-06-17 10:55:00-05:00,2026-06-17,LONG,target,0.3,3.0
2026-06-17 13:05:00-05:00,2026-06-17,LONG,target,0.3,1.0
2026-06-17 13:25:00-05:00,2026-06-17,LONG,target,0.3,1.0
2026-06-17 13:35:00-05:00,2026-06-17,LONG,target,0.3,1.0
2026-06-18 10:50:00-05:00,2026-06-18,LONG,target,0.3,2.0
2026-06-18 12:00:00-05:00,2026-06-18,LONG,target,0.3,1.0
2026-06-22 08:55:00-05:00,2026-06-22,LONG,target,0.3,1.0
2026-06-24 09:45:00-05:00,2026-06-24,LONG,target,0.3,6.0
2026-06-25 09:00:00-05:00,2026-06-25,LONG,target,0.3,1.0
2026-06-25 09:10:00-05:00,2026-06-25,LONG,target,0.3,2.0
2026-06-25 13:05:00-05:00,2026-06-25,LONG,target,0.3,4.0
2026-06-25 13:45:00-05:00,2026-06-25,LONG,target,0.3,1.0
2026-06-26 08:45:00-05:00,2026-06-26,LONG,target,0.3,2.0
2026-06-29 09:25:00-05:00,2026-06-29,LONG,target,0.3,1.0
2026-06-29 11:00:00-05:00,2026-06-29,LONG,target,0.3,4.0
2026-06-29 11:20:00-05:00,2026-06-29,LONG,target,0.3,2.0
2026-07-01 13:45:00-05:00,2026-07-01,LONG,target,0.3,3.0
2026-07-01 13:55:00-05:00,2026-07-01,LONG,scratch,0.09864101450810579,7.0
2026-07-06 08:45:00-05:00,2026-07-06,LONG,target,0.3,1.0
2026-07-09 08:55:00-05:00,2026-07-09,LONG,target,0.3,1.0
2026-07-09 10:35:00-05:00,2026-07-09,LONG,target,0.3,2.0
2026-07-09 10:45:00-05:00,2026-07-09,LONG,stop,-0.3,2.0
2026-07-09 11:00:00-05:00,2026-07-09,LONG,target,0.3,3.0
2026-07-09 11:35:00-05:00,2026-07-09,LONG,target,0.3,1.0
2026-07-13 09:30:00-05:00,2026-07-13,LONG,stop,-0.3,5.0
2026-07-14 10:05:00-05:00,2026-07-14,LONG,target,0.3,1.0
2026-07-15 12:30:00-05:00,2026-07-15,LONG,target,0.3,4.0
2026-04-21 09:55:00-05:00,2026-04-21,SHORT,target,0.3,1.0
2026-04-21 12:10:00-05:00,2026-04-21,SHORT,target,0.3,1.0
2026-04-23 08:50:00-05:00,2026-04-23,SHORT,target,0.3,1.0
2026-04-23 11:40:00-05:00,2026-04-23,SHORT,target,0.3,2.0
2026-04-24 08:55:00-05:00,2026-04-24,SHORT,target,0.3,1.0
2026-04-24 13:25:00-05:00,2026-04-24,SHORT,stop,-0.3,2.0
2026-04-29 13:00:00-05:00,2026-04-29,SHORT,target,0.3,2.0
2026-05-06 10:35:00-05:00,2026-05-06,SHORT,stop,-0.3,2.0
2026-05-08 13:55:00-05:00,2026-05-08,SHORT,scratch,0.16384545688468982,7.0
2026-05-15 13:15:00-05:00,2026-05-15,SHORT,target,0.3,3.0
2026-05-29 13:55:00-05:00,2026-05-29,SHORT,scratch,-0.06896271102729885,7.0
2026-06-01 13:35:00-05:00,2026-06-01,SHORT,target,0.3,7.0
2026-06-04 09:20:00-05:00,2026-06-04,SHORT,target,0.3,3.0
2026-06-08 10:30:00-05:00,2026-06-08,SHORT,stop,-0.3,1.0
2026-06-10 11:45:00-05:00,2026-06-10,SHORT,stop,-0.3,1.0
2026-06-16 09:15:00-05:00,2026-06-16,SHORT,target,0.3,1.0
2026-06-16 11:20:00-05:00,2026-06-16,SHORT,target,0.3,2.0
2026-06-17 08:50:00-05:00,2026-06-17,SHORT,target,0.3,1.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,stop,-0.3,1.0
2026-06-17 13:55:00-05:00,2026-06-17,SHORT,target,0.3,3.0
2026-06-18 13:05:00-05:00,2026-06-18,SHORT,target,0.3,4.0
2026-06-24 08:55:00-05:00,2026-06-24,SHORT,target,0.3,1.0
2026-06-25 11:20:00-05:00,2026-06-25,SHORT,target,0.3,2.0
2026-06-25 13:55:00-05:00,2026-06-25,SHORT,target,0.3,6.0
2026-07-07 10:15:00-05:00,2026-07-07,SHORT,target,0.3,4.0
2026-07-07 13:30:00-05:00,2026-07-07,SHORT,target,0.3,3.0
2026-07-08 12:45:00-05:00,2026-07-08,SHORT,target,0.3,8.0
